	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
ACCESSCODEFORM_SUCCESS_TEXT_SPAM	If you are register and you have not received the code, check the spam folder or go back and review that you introduced the email correctly.	Si vous êtes inscrit et que vous n'avez pas reçu le code, vérifiez le dossier spam ou revenez en arrière et vérifiez que vous avez correctement introduit l'e-mail.	Si está registrado y no ha recibido el código, revise la carpeta de correo no deseado o regrese y revise que introdujo el correo electrónico correctamente.	Εάν είστε εγγεγραμμένοι και δεν έχετε λάβει τον κωδικό, ελέγξτε το φάκελο ανεπιθύμητων μηνυμάτων ή επιστρέψτε και ελέγξτε ότι εισαγάγατε σωστά το email.	Se ti registri e non hai ricevuto il codice, controlla la cartella spam o tornare indietro e verifica che hai introdotto correttamente l'e-mail.	إذا كنت مسجل ولم تتلقى الرمز، فتحقق من مجلد البريد العشوائي أو العودة ومراجعة أنك قمت بتقديم البريد الإلكتروني بشكل صحيح.	Wenn Sie sich registrieren und den Code nicht erhalten haben, überprüfen Sie den SPAM -Ordner oder gehen Sie zurück und überprüfen Sie, ob Sie die E -Mail korrekt eingeführt haben.	登録していてコードを受け取っていない場合は、スパムフォルダーを確認するか、戻って正しい電子メールを送信したか確認してください。	Ha regisztrált, és nem kapta meg a kódot, ellenőrizze a spam mappát, vagy menjen vissza, és ellenőrizze, hogy helyesen adta-e meg az e-mailt.	Se você estiver cadastrado e não tiver recebido o código, verifique a pasta de spam ou volte e verifique se digitou o e-mail corretamente.	Ako ste registrirani, a niste primili kôd, provjerite mapu neželjene pošte ili se vratite i provjerite jeste li ispravno unijeli e-poštu.	Če ste registrirani in niste prejeli kode, preverite mapo z vsiljeno pošto ali se vrnite in preverite, ali ste pravilno vnesli e-pošto.	Ако сте регистрирани, а нисте примили кôд, провјерите мапу нежељене поште или се вратите и провјерите јесте ли исправно унијели е-пошту.
ACCESSCODEFORM_SUCCESS_RESET_LABEL	New request	Nouvelle demande	Nueva solicitud	Νέο αίτημα	Nuova richiesta	طلب جديد	Neue Anfrage	新しいリクエスト	Új kérelem	Nova solicitação	Novi zahtjev	Nova zahteva	Нови захтјев
LOGINFORM_TITLE	Login using your access code:	S'identifier avec un code d'accès :	Sesión con su código de acceso:	Σύνδεση χρησιμοποιώντας τον κωδικό πρόσβασης σας:	Accedi usando il tuo codice di accesso:	تسجيل الدخول باستخدام رمز الوصول الخاص بك:	Melden Sie sich mit Ihrem Zugriffscode an:	アクセスコードを使用してログインします。	Jelentkezzen be a hozzáférési kódjával:	Login com seu código de acesso:	Prijavite se pomoću pristupnog koda:	Prijavite se s kodo za dostop:	Пријавите се помоћу приступног кода:
LOGINFORM_ACCESSCODE_LABEL	Access Code	Code d'accès	Código de acceso	Κωδικός πρόσβασης	Codice d'accesso	رمز الوصول مطلوب	Zugangscode	アクセスコード	Hozzáférési kód	Código de acesso	Pristupni kod	Koda za dostop	Приступни код
LOGINFORM_ACCESSCODE_PLACEHOLDER	Enter your access code	Saisissez votre code d'accès	Introduzca su código de acceso	Πληκτρολογήστε τον κωδικό πρόσβασης σας	Inserisci il tuo codice di accesso	أدخل رمز الوصول الخاص بك	Geben Sie Ihren Zugriffscode ein	アクセスコードを入力してください	Adja meg a hozzáférési kódot	Insira seu código de acesso	Unesite svoj pristupni kod	Vnesite svojo kodo za dostop	Унесите свој приступни код
LOGINFORM_ACCESSCODE_ERR_REQUIRED	Access code is required	Veuillez saisir un code d'accès	Se requiere el código de acceso	Κωδικός πρόσβασης απαιτείται	Il codice di accesso è richiesto	رمز الوصول مطلوب	Zugriffscode ist erforderlich	アクセスコードが必要です	Hozzáférési kód megadása kötelező	O código de acesso é obrigatório	Potreban je pristupni kod	Koda za dostop je obvezna	Потребан је приступни код
LOGINFORM_SUBMIT_LABEL	Login	S'identifier	Iniciar sesión	Σύνδεση	Login	تسجيل الدخول	Anmeldung	ログイン	Bejelentkezés	Iniciar sessão	Prijaviti se	Prijavite se	Пријавити се
LOGUSER_TEMPLATE	Welcome <%= user.firstName %> <%= user.lastName %> (<%= user.email %>)	Bonjour <%= user.firstName %> <%= user.lastName %> (<%= user.email %>)	Bienvenido <%= user.firstName%> <%= user.lastName%> (<%= user.email%>)	Καλώς ήρθατε <%= user.firstName%> <%= user.lastName%> (<%= user.email%>)	Benvenuto <% = user.firstName%> <% = user.lastName%> (<% = user.email %>)	مرحبًا <٪ = user.firstName ٪> <٪ = user.lastname ٪> (<٪ = user.email ٪>)	Willkommen < %= user.firstname %> < %= user.lastName %> (< %= user.email %>)	ようこそ <%= user.firstName %> <%= user.lastName %> (<%= user.email %>)	Üdvözöljük <%= user.firstName %> <%= user.lastName %> (<%= user.email %>)	Bem-vindo <%= user.firstName %> <%= user.lastName %> (<%= user.email %>)	Dobrodošli <%= user.firstName %> <%= user.lastName %> (<%= user.email %>)	Dobrodošli <%= user.firstName %> <%= user.lastName %> (<%= user.email %>)	Добродошли <%= усер.фирстНаме %> <%= усер.ластНаме %> (<%= усер.емаил %>)
LOGUSER_LOGOUT_LABEL	Logout	Deconnexion	Cerrar sesión	Αποσύνδεση	Disconnettersi	تسجيل الخروج	Ausloggen	ログアウト	Kijelentkezés	Encerrar sessão	Odjaviti se	Odjavite se	Одјавити се
AUTHENTICATION_FORM_CLOSE	Close	Fermer	Cerrar	Κλείσε	Chiudere	اغلاق	Schließen	閉じる	Bezárás	Fechar	Zatvoriti	Zapri	Затворити
REGISTRATIONFORM_TITLE_WINDOW	Registration	Inscription	Registro	Εγγραφή	Registrazione	تسجيل	Anmeldung	登録	Regisztráció	Cadastro	Registracija	Registracija	Регистрација
REGISTRATIONFORM_ORGANIZATIONROLE_RESEARCHER_LABEL	Researcher	Chercheur	Investigador	Άλλο	Ricercatore	الباحث	Forscher	研究者	Kutató	Pesquisador	Istraživač	Raziskovalec	Истраживач
