	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
explanation_media	Specify the media elements that you want to analyze	Spécifiez les éléments de support que vous souhaitez analyser	Especifique los elementos de medios que desea analizar.	Καθορίστε τα στοιχεία πολυμέσων που θέλετε να αναλύσετε	Specifica gli elementi dei media che si desidera analizzare	حدد عناصر الوسائط التي تريد تحليلها	Geben Sie die Medienelemente an, die Sie analysieren möchten	分析するメディア要素を指定します	Adja meg az elemezni kívánt médiaelemeket	Especifique os elementos de mídia que você deseja analisar.	Navedite medijske elemente koje želite analizirati	Določite medijske elemente, ki jih želite analizirati
explanation_cache	Specify if you want to ignore the cache of the server and process the search as a new one.	Spécifiez si vous souhaitez ignorer le cache du serveur et traiter la recherche en tant que nouvelle	Especifique si desea ignorar el caché del servidor y procese la búsqueda como una nueva	Καθορίστε εάν θέλετε να αγνοήσετε την cache του διακομιστή και να επεξεργαστείτε την αναζήτηση ως ένα νέο	Specificare se si desidera ignorare la cache del server ed elaborare la ricerca come nuovo	حدد ما إذا كنت تريد تجاهل ذاكرة التخزين المؤقت للخادم والتعامل مع البحث على أنه جديد	Geben Sie an, ob Sie den Cache des Servers ignorieren möchten, und verarbeiten Sie die Suche als neue.	サーバーのキャッシュを除いて新規検索として処理する場合に指定します	Adja meg, hogy figyelmen kívül kívánja-e hagyni a szerver gyorsítótárát, és a keresést újként kívánja-e feldolgozni	Especifique se deseja ignorar o cache do servidor e processar a pesquisa como uma nueva.	Navedite želite li ignorirati predmemoriju poslužitelja i obraditi pretraživanje kao novo.	Določite, ali želite prezreti predpomnilnik strežnika in obdelati iskanje kot novo.
twittersna_searchparameters	Search parameters	Paramètres de recherche	Parámetros de búsqueda	Παράμετροι αναζήτησης	Parametri di ricerca	إعدادات البحث	Suchparameter	検索パラメータ	Keresési paraméterek	Parâmetros de pesquisa	Parametri pretraživanja	Parametri iskanja
twittersna_title_timezone	Time zone of the dates	Fuseau horaire des dates	Zona horaria de las fechas	Ζώνη ώρας των ημερομηνιών	Fuso orario delle date	النطاق الزمني للتواريخ	Zeitzone der Daten	日付のタイムゾーン	A dátumok időzónája	Fuso horário das datas	Vremenska zona datuma	Časovni pas datumov
twittersna_title_optional	Optional parameters	Paramètres facultatifs	Parámetros opcionales	Προαιρετικές παράμετροι	Parametri opzionali	الإعدادات الاختيارية	Optionale Parameter	オプションのパラメータ	Opcionális paraméterek	Parâmetros opcionais	Opcijski parametri	Izbirni parametri
twittersna_title_words	Words	Mots	Palabras	Λόγια	Parole	كلمات	Wörter	言語	Szavak	Palavras	Riječi	Besede
twittersna_title_accounts	Accounts	Comptes	Cuentas	Λογαριασμοί	Account	حسابات	Konten	アカウント	Fiókok	Contas	Računi	Računi
twittersna_title_media	Media	Médias	Medios de comunicación	Μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ	Media	وسائط	Medien	メディア	Média	Mídia	Mediji	Mediji
twittersna_title_advanced	Advanced tools	Outils avancés	Herramientas avanzadas	Προχωρημένα Εργαλεία	Strumenti avanzati	ادوات متطورة	Erweiterte Tools	高度なツール	Speciális eszközök	Ferramentas avançadas	Napredni alati	Napredna orodja
twitter_sna_searchelement	Search element	Élément de recherche	Elemento de búsqueda	Στοιχείο αναζήτησης	Elemento di ricerca	عنصر البحث	Suchelement	検索要素	Keresési elem	Elemento de pesquisa	Element pretraživanja	Iskalni element
twitter_sna_selectdate	Select a date	Sélectionnez une date	Seleccione una fecha	Επιλέξτε μια ημερομηνία	Seleziona una data	حدد تاريخ	Wählen Sie ein Datum	日付を選択してください	Dátum kiválasztása	Selecione uma data	Odaberite datum	Izberite datum
twitter_sna_placholder_tweetedby	Twitter account name	Nom du compte Twitter	Nombre de la cuenta de Twitter	Όνομα λογαριασμού Twitter	Nome account Twitter	اسم حساب تويتر	Twitter -Kontoname	ツイッターのアカウント名	Twitter fiók neve	Nome da conta do Twitter	Naziv Twitter računa	Ime računa na Twitterju
tweet_similarity_title	Tweet Similarity	Similarité des tweets	Tweet similitud	Tweet Ομοιότητα	Tweet somiglianza	تشابه التغريدات	Tweet Ähnlichkeit	ツイートの類似性	Tweet hasonlóság	Similaridade do tweet	Sličnost tweetova	Podobnost tvita
twittersna_title_time	Time	Temps	Hora	χρόνος	Tempo	زمن	Zeit	時間	Idő	Hora	Vrijeme	Čas
twittersna_title_elements	Search elements	Éléments de recherche	Elementos de búsqueda	Στοιχεία αναζήτησης	Elementi di ricerca	عناصر البحث	Suchelemente	検索の内容	Keresési elemek	Elementos de pesquisa	Elementi pretraživanja	Iskalni elementi
explanation_allelements	All the elements in this field must appear in the search results	Tous les éléments de ce champ doivent apparaître dans les résultats de la recherche	Todos los elementos en este campo deben aparecer en los resultados de búsqueda	Όλα τα στοιχεία σε αυτό το πεδίο πρέπει να εμφανίζονται στα αποτελέσματα αναζήτησης	Tutti gli elementi in questo campo devono apparire nei risultati di ricerca	يجب أن تظهر جميع العناصر في هذا الحقل في نتائج البحث	Alle Elemente in diesem Feld müssen in den Suchergebnissen angezeigt werden	このフィールドのすべての要素が検索結果に反映されます	A mező összes elemének meg kell jelennie a keresési eredményekben	Todos os elementos neste campo devem aparecer nos resultados da pesquisa	Svi elementi u ovom polju moraju se pojaviti u rezultatima pretraživanja	Vsi elementi v tem polju se morajo pojaviti v rezultatih iskanja
explanation_anyelements	At least one of the elements of this field must appear in the search results	Au moins un des éléments de ce champ doit apparaître dans les résultats de la recherche	Al menos uno de los elementos de este campo debe aparecer en los resultados de búsqueda	Τουλάχιστον ένα από τα στοιχεία αυτού του πεδίου πρέπει να εμφανίζεται στα αποτελέσματα αναζήτησης	Almeno uno degli elementi di questo campo deve apparire nei risultati di ricerca	يجب أن يظهر واحد على الأقل من عناصر هذا المجال في نتائج البحث	Mindestens eines der Elemente dieses Feldes muss in den Suchergebnissen erscheinen	このフィールドの要素の少なくとも 1 つが検索結果に反映されます	A mező legalább egyik elemének meg kell jelennie a keresési eredményekben	Pelo menos um dos elementos deste campo deve aparecer nos resultados da pesquisa	Barem jedan od elemenata ovog polja mora se pojaviti u rezultatima pretraživanja	Vsaj eden od elementov tega polja se mora pojaviti v rezultatih iskanja
twittersna_field_all	All the elements	Tous les éléments	Todos los elementos	Όλα τα στοιχεία	Tutti gli elementi	كل العناصر	Alle Elemente	すべてを含む	Minden elem	Todos os elementos	Svi elementi	Vsi elementi
twittersna_field_any	Any of the elements	L'un des éléments	Cualquiera de los elementos	Οποιοδήποτε από τα στοιχεία	Uno qualsiasi degli elementi	أي من العناصر	Eines der Elemente	いずれかを含む	Bármely elem	Qualquer um dos elementos	Bilo koji element	Kateri koli element
