	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
synthetic_image_detection_itw_spai_mever_description	This model detects fully synthetic images and specializes in identifying those found in-the-wild, such as images that have undergone compression by being posted on social media. It is trained using a combination of the LDM training dataset, TWIGMA, and OpenImages datasets. The DINOv2 technology extracts key characteristics from the image to enable accurate detection.	Ce modèle détecte des images entièrement synthétiques et se spécialise dans l'identification de celles trouvées dans leur état naturel, telles que les images ayant subi une compression en raison de leur publication sur les réseaux sociaux. Il est entraîné à l'aide d'une combinaison de l'ensemble de données d'entraînement LDM, TWIGMA et OpenImages. La technologie DINOv2 extrait les caractéristiques clés de l'image pour permettre une détection précise.	Este modelo detecta imágenes completamente sintéticas y se especializa en identificar aquellas que se encuentran en la naturaleza, como las imágenes que han pasado por compresión al ser publicadas en redes sociales. Está entrenado utilizando una combinación del conjunto de datos de entrenamiento LDM, TWIGMA y OpenImages. La tecnología DINOv2 extrae características clave de la imagen para permitir una detección precisa.	"Αυτό το μοντέλο ανιχνεύει πλήρως συνθετικές εικόνες και ειδικεύεται στον εντοπισμό αυτών που βρίσκονται ""στη φύση"", όπως εικόνες που έχουν υποστεί συμπίεση λόγω ανάρτησης σε μέσα κοινωνικής δικτύωσης. Εκπαιδεύεται χρησιμοποιώντας έναν συνδυασμό των συνόλων δεδομένων εκπαίδευσης LDM, TWIGMA και OpenImages. Η τεχνολογία DINOv2 εξάγει βασικά χαρακτηριστικά από την εικόνα για να επιτρέψει ακριβή εντοπισμό."	"Questo modello rileva immagini completamente sintetiche e si specializza nell'identificazione di quelle trovate ""allo stato selvatico"", come immagini che sono state compresse durante la pubblicazione sui social media. È addestrato utilizzando una combinazione di dataset di addestramento LDM, TWIGMA e OpenImages. La tecnologia DINOv2 estrae caratteristiche chiave dall'immagine per consentire un rilevamento preciso."	Ta model zaznava popolnoma sintetične slike in se specializira za prepoznavanje tistih, ki so najdene v naravnem okolju, kot so slike, ki so bile stisnjene zaradi objave na družbenih medijih. Usposobljen je z uporabo kombinacije učnih podatkov LDM, TWIGMA in OpenImages. Tehnologija DINOv2 izvleče ključne značilnosti iz slike, da omogoči natančno zaznavanje.	"Dieses Modell erkennt vollständig synthetische Bilder und spezialisiert sich auf die Identifizierung solcher Bilder, die ""in freier Wildbahn"" gefunden werden, z. B. Bilder, die durch die Veröffentlichung in sozialen Medien komprimiert wurden. Es wird unter Verwendung einer Kombination aus dem LDM-Trainingsdatensatz, TWIGMA und OpenImages-Datensätzen trainiert. Die DINOv2-Technologie extrahiert Schlüsselmerkmale aus dem Bild, um eine genaue Erkennung zu ermöglichen."	このモデルは完全合成画像を検出し、ソーシャルメディアへの投稿による圧縮を受けた画像など、自然界で発見された画像を特定することに特化しています。LDMトレーニングデータセット、TWIGMA、OpenImagesデータセットの組み合わせを使用してトレーニングされています。DINOv2テクノロジーは、正確な検出を可能にするために、画像から主要な特徴を抽出します。	"Ez a modell teljesen szintetikus képeket észlel, és az ""in-the-wild"" talált képek azonosítására specializálódott, például olyan képekre, amelyek a közösségi médiában való közzététel során tömörítésen estek át. Az LDM képzési adatgyűjtemény, a TWIGMA és az OpenImages adatgyűjtemények kombinációjával képezik. A DINOv2 technológia kivonja a kép kulcsfontosságú jellemzőit, hogy lehetővé tegye a pontos észlelést."	"Este modelo detecta imagens totalmente sintéticas e especializa-se em identificar aquelas encontradas ""na natureza"", como imagens que foram submetidas a compressão por terem sido publicadas em redes sociais. É treinado usando uma combinação do conjunto de dados de treinamento LDM, TWIGMA e OpenImages. A tecnologia DINOv2 extrai características-chave da imagem para permitir a detecção precisa."	Ovaj model detektira potpuno sintetičke slike i specijaliziran je za prepoznavanje onih pronađenih u divljini, kao što su slike koje su prošle kompresiju objavljivanjem na društvenim mrežama. Obučen je korištenjem kombinacije LDM trening skupa podataka, TWIGMA i OpenImages skupova podataka. DINOv2 tehnologija izvlači ključne karakteristike iz slike kako bi omogućila preciznu detekciju.	Ta model zaznava popolnoma sintetične slike in se specializira za prepoznavanje tistih, ki so najdene v naravnem okolju, kot so slike, ki so bile stisnjene zaradi objave na družbenih medijih. Usposobljen je z uporabo kombinacije učnih podatkov LDM, TWIGMA in OpenImages. Tehnologija DINOv2 izvleče ključne značilnosti iz slike, da omogoči natančno zaznavanje.	Ovaj model detektira potpuno sintetičke slike i specijaliziran je za prepoznavanje onih pronađenih u divljini, kao što su slike koje su prošle kompresiju objavljivanjem na društvenim mrežama. Obučen je korištenjem kombinacije LDM trening skupa podataka, TWIGMA i OpenImages skupova podataka. DINOv2 tehnologija izvlači ključne karakteristike iz slike kako bi omogućila preciznu detekciju.
synthetic_image_detection_itw_spai_mever_warning	Use with caution. While new veraai.eu synthetic image detection models outperformed previous ones in several fact-checks, some errors or false positives (<6%) have still been noted during extensive testing. If you are uncertain, use the feedback button to ask for guidance.	À utiliser avec prudence. Bien que les nouveaux modèles de détection d’images synthétiques de veraai.eu aient surpassé les précédents dans plusieurs vérifications de faits, certaines erreurs ou faux positifs (<6 %) ont encore été observés lors de tests approfondis. En cas de doute, utilisez le bouton de feedback pour demander des conseils.	Usar con precaución. Aunque los nuevos modelos de detección de imágenes sintéticas de veraai.eu superaron a los anteriores en varias verificaciones de hechos, todavía se han observado algunos errores o falsos positivos (<6%) durante las pruebas exhaustivas. Si tiene dudas, utilice el botón de comentarios para pedir orientación.	Χρησιμοποιήστε με προσοχή. Αν και τα νέα μοντέλα ανίχνευσης συνθετικών εικόνων του veraai.eu ξεπέρασαν τα προηγούμενα σε πολλές επαληθεύσεις γεγονότων, έχουν σημειωθεί ορισμένα σφάλματα ή ψευδώς θετικά (<6%) κατά τη διάρκεια εκτεταμένων δοκιμών. Εάν δεν είστε βέβαιοι, χρησιμοποιήστε το κουμπί σχολίων για να ζητήσετε καθοδήγηση.	Usare con cautela. Sebbene i nuovi modelli di rilevamento di immagini sintetiche di veraai.eu abbiano superato i precedenti in diverse verifiche dei fatti, alcuni errori o falsi positivi (<6%) sono stati comunque rilevati durante test approfonditi. In caso di incertezza, utilizzare il pulsante di feedback per chiedere indicazioni.	استخدم بحذر. على الرغم من أن نماذج اكتشاف الصور الاصطناعية الجديدة من veraai.eu تفوقت على النماذج السابقة في عدة عمليات تحقق من الحقائق، إلا أنه تم ملاحظة بعض الأخطاء أو الإيجابيات الكاذبة (<6%) أثناء الاختبارات المكثفة. إذا لم تكن متأكدًا، استخدم زر الملاحظات لطلب التوجيه.	Mit Vorsicht verwenden. Obwohl die neuen Modelle von veraai.eu zur Erkennung synthetischer Bilder die früheren in mehreren Faktenchecks übertroffen haben, wurden bei umfangreichen Tests immer noch einige Fehler oder Fehlalarme (<6%) festgestellt. Wenn Sie unsicher sind, verwenden Sie die Feedback-Schaltfläche, um um Anleitung zu bitten.	注意して使用してください。veraai.euの新しい合成画像検出モデルは、いくつかのファクトチェックで以前のモデルを上回る性能を発揮しましたが、広範なテスト中にいくつかのエラーや誤検知（6％未満）が依然として認められています。不明な場合は、フィードバックボタンを使用してガイダンスを求めてください。	Óvatosan használja. Bár az új veraai.eu szintetikus képészlelési modellek számos tényellenőrzésben felülmúlták az előzőeket, a kiterjedt tesztelés során még mindig észleltek néhány hibát vagy hamis pozitív eredményt (<6%). Ha bizonytalan, használja a visszajelzés gombot útmutatás kéréséhez.	Use com cautela. Embora os novos modelos de detecção de imagens sintéticas de veraai.eu tenham superado os anteriores em várias verificações de fatos, alguns erros ou falsos positivos (<6%) ainda foram observados durante testes extensivos. Se você não tiver certeza, use o botão de feedback para pedir orientação.	Koristite s oprezom. Iako su novi veraai.eu modeli za detekciju sintetičkih slika nadmašili prethodne u nekoliko provjera činjenica, još uvijek su zabilježene neke pogreške ili lažno pozitivni rezultati (<6%) tijekom opsežnog testiranja. Ako niste sigurni, koristite gumb za povratne informacije da biste zatražili smjernice.	Uporabljajte previdno. Čeprav so novi modeli zaznavanja sintetičnih slik veraai.eu presegli prejšnje v več preverjanjih dejstev, so bile med obsežnim testiranjem še vedno opažene nekatere napake ali lažno pozitivni rezultati (<6%). Če niste prepričani, uporabite gumb za povratne informacije, da zaprosite za navodila.	Koristite s oprezom. Iako su novi veraai.eu modeli za detekciju sintetičkih slika nadmašili prethodne u nekoliko provjera činjenica, još uvijek su zabilježene neke pogreške ili lažno pozitivni rezultati (<6%) tijekom opsežnog testiranja. Ako niste sigurni, koristite gumb za povratne informacije da biste zatražili smjernice.
synthetic_image_detection_title	Detection results	Résultats de la détection	Resultados de la detección	Αποτελέσματα ανίχνευσης	Risultati del rilevamento	نتائج الكشف	Erkennungsergebnisse	検出結果	Észlelési eredmények	Resultados da detecção	Rezultati detekcije	Rezultati zaznavanja	Rezultati detekcije
synthetic_image_detection_ldm-webp_r50_grip_name	LDM WebP r50	LDM WebP r50	LDM WebP r50	LDM WebP r50	LDM WebP r50	LDM WebP r50	LDM WebP r50	LDM WebP r50	LDM WebP r50	LDM WebP r50	LDM WebP r50	LDM WebP r50	LDM WebP r50
synthetic_image_detection_ldm-webp_r50_grip_description	This model can detect fully synthetic images of webp format generated by Latent Diffusion Models or architectures that are similar. The model's architecture is a variant of ResNet-50, trained to capture low-level artifacts introduced by the generative model.	Ce modèle peut détecter des images entièrement synthétiques au format webp générées par des modèles de diffusion latente ou des architectures similaires. L'architecture du modèle est une variante du ResNet-50, entraînée pour capturer les artefacts de bas niveau introduits par le modèle génératif.	Este modelo puede detectar imágenes completamente sintéticas en formato webp generadas por Modelos de Difusión Latente o arquitecturas similares. La arquitectura del modelo es una variante de ResNet-50, entrenada para capturar artefactos de bajo nivel introducidos por el modelo generativo.	Αυτό το μοντέλο μπορεί να ανιχνεύσει πλήρως συνθετικές εικόνες σε μορφή webp που δημιουργούνται από Μοντέλα Διάχυσης Latent ή παρόμοιες αρχιτεκτονικές. Η αρχιτεκτονική του μοντέλου είναι μια παραλλαγή του ResNet-50, εκπαιδευμένη να καταγράφει χαμηλού επιπέδου τεχνουργήματα που εισάγονται από το γενετικό μοντέλο.	Questo modello può rilevare immagini completamente sintetiche in formato webp generate da modelli di diffusione latente o architetture simili. L'architettura del modello è una variante del ResNet-50, addestrata per catturare artefatti di basso livello introdotti dal modello generativo.	يمكن لهذا النموذج اكتشاف الصور الاصطناعية تمامًا بتنسيق webp التي تم إنشاؤها بواسطة نماذج الانتشار الكامن أو البنى المماثلة. يعد هيكل النموذج متغيرًا من ResNet-50، تم تدريبه لالتقاط القطع الأثرية منخفضة المستوى التي يقدمها النموذج التوليدي.	Dieses Modell kann vollständig synthetische Bilder im Webp-Format erkennen, die von Latent-Diffusionsmodellen oder ähnlichen Architekturen generiert wurden. Die Architektur des Modells ist eine Variante von ResNet-50, die darauf trainiert wurde, niedrige Artefakte zu erfassen, die durch das generative Modell eingeführt wurden.	このモデルは、潜在拡散モデルまたは同様のアーキテクチャによって生成された WebP 形式の完全合成画像を検出できます。モデルのアーキテクチャは ResNet-50 のバリアントであり、生成モデルによって導入された低レベルのアーティファクトをキャプチャするようにトレーニングされています。	Ez a modell képes felismerni a Latens Diffúziós Modellek vagy hasonló architektúrák által generált teljesen szintetikus képeket webp formátumban. A modell architektúrája a ResNet-50 egyik változata, amelyet a generatív modell által bevezetett alacsony szintű artefaktumok rögzítésére képeztek ki.	Este modelo pode detectar imagens totalmente sintéticas no formato webp geradas por Modelos de Difusão Latente ou arquiteturas similares. A arquitetura do modelo é uma variante do ResNet-50, treinada para capturar artefatos de baixo nível introduzidos pelo modelo generativo.	Ovaj model može detektirati potpuno sintetičke slike u webp formatu generirane Latentnim difuzijskim modelima ili sličnim arhitekturama. Arhitektura modela je varijanta ResNet-50, trenirana za hvatanje niskorazinskih artefakata uvedenih generativnim modelom.	Ta model lahko zazna popolnoma sintetične slike v formatu webp, ustvarjene z latentnimi difuzijskimi modeli ali podobnimi arhitekturami. Arhitektura modela je različica ResNet-50, usposobljena za zajemanje nizkonivojskih artefaktov, ki jih je uvedel generativni model.	Ovaj model može detektirati potpuno sintetičke slike u webp formatu generirane Latentnim difuzijskim modelima ili sličnim arhitekturama. Arhitektura modela je varijanta ResNet-50, trenirana za hvatanje niskorazinskih artefakata uvedenih generativnim modelom.
synthetic_image_detection_gigagan-webp_r50_grip_name	GigaGAN WebP r50	GigaGAN WebP r50	GigaGAN WebP r50	GigaGAN WebP r50	GigaGAN WebP r50	GigaGAN WebP r50	GigaGAN WebP r50	GigaGAN WebP r50	GigaGAN WebP r50	GigaGAN WebP r50	GigaGAN WebP r50	GigaGAN WebP r50	GigaGAN WebP r50
synthetic_image_detection_gigagan-webp_r50_grip_description	This model can detect fully synthetic images of webp format generated by GigaGAN or architectures that are similar. The model's architecture is a variant of ResNet-50, trained to capture low-level artifacts introduced by the generative model.	Ce modèle peut détecter des images entièrement synthétiques au format webp générées par GigaGAN ou des architectures similaires. L'architecture du modèle est une variante du ResNet-50, entraînée pour capturer les artefacts de bas niveau introduits par le modèle génératif.	Este modelo puede detectar imágenes completamente sintéticas en formato webp generadas por GigaGAN o arquitecturas similares. La arquitectura del modelo es una variante de ResNet-50, entrenada para capturar artefactos de bajo nivel introducidos por el modelo generativo.	Αυτό το μοντέλο μπορεί να ανιχνεύσει πλήρως συνθετικές εικόνες σε μορφή webp που δημιουργούνται από το GigaGAN ή παρόμοιες αρχιτεκτονικές. Η αρχιτεκτονική του μοντέλου είναι μια παραλλαγή του ResNet-50, εκπαιδευμένη να καταγράφει χαμηλού επιπέδου τεχνουργήματα που εισάγονται από το γενετικό μοντέλο.	Questo modello può rilevare immagini completamente sintetiche in formato webp generate da GigaGAN o architetture simili. L'architettura del modello è una variante del ResNet-50, addestrata per catturare artefatti di basso livello introdotti dal modello generativo.	يمكن لهذا النموذج اكتشاف الصور الاصطناعية تمامًا بتنسيق webp التي تم إنشاؤها بواسطة GigaGAN أو البنى المماثلة. يعد هيكل النموذج متغيرًا من ResNet-50، تم تدريبه لالتقاط القطع الأثرية منخفضة المستوى التي يقدمها النموذج التوليدي.	Dieses Modell kann vollständig synthetische Bilder im Webp-Format erkennen, die von GigaGAN oder ähnlichen Architekturen generiert wurden. Die Architektur des Modells ist eine Variante von ResNet-50, die darauf trainiert wurde, niedrige Artefakte zu erfassen, die durch das generative Modell eingeführt wurden.	このモデルは、GigaGAN または同様のアーキテクチャによって生成された WebP 形式の完全合成画像を検出できます。モデルのアーキテクチャは ResNet-50 のバリアントであり、生成モデルによって導入された低レベルのアーティファクトをキャプチャするようにトレーニングされています。	Ez a modell képes felismerni a GigaGAN vagy hasonló architektúrák által generált teljesen szintetikus képeket webp formátumban. A modell architektúrája a ResNet-50 egyik változata, amelyet a generatív modell által bevezetett alacsony szintű artefaktumok rögzítésére képeztek ki.	Este modelo pode detectar imagens totalmente sintéticas no formato webp geradas por GigaGAN ou arquiteturas similares. A arquitetura do modelo é uma variante do ResNet-50, treinada para capturar artefatos de baixo nível introduzidos pelo modelo generativo.	Ovaj model može detektirati potpuno sintetičke slike u webp formatu generirane GigaGAN-om ili sličnim arhitekturama. Arhitektura modela je varijanta ResNet-50, trenirana za hvatanje niskorazinskih artefakata uvedenih generativnim modelom.	Ta model lahko zazna popolnoma sintetične slike v formatu webp, ustvarjene z GigaGAN-om ali podobnimi arhitekturami. Arhitektura modela je različica ResNet-50, usposobljena za zajemanje nizkonivojskih artefaktov, ki jih je uvedel generativni model.	Ovaj model može detektirati potpuno sintetičke slike u webp formatu generirane GigaGAN-om ili sličnim arhitekturama. Arhitektura modela je varijanta ResNet-50, trenirana za hvatanje niskorazinskih artefakata uvedenih generativnim modelom.
synthetic_image_detection_progan-webp_r50_grip_name	ProGAN WebP r50	ProGAN WebP r50	ProGAN WebP r50	ProGAN WebP r50	ProGAN WebP r50	ProGAN WebP r50	ProGAN WebP r50	ProGAN WebP r50	ProGAN WebP r50	ProGAN WebP r50	ProGAN WebP r50	ProGAN WebP r50	ProGAN WebP r50
synthetic_image_detection_progan-webp_r50_grip_description	This model can detect fully synthetic images of webp format generated by ProGAN or architectures that are similar. The model's architecture is a variant of ResNet-50, trained to capture low-level artifacts introduced by the generative model.	Ce modèle peut détecter des images entièrement synthétiques au format webp générées par ProGAN ou des architectures similaires. L'architecture du modèle est une variante du ResNet-50, entraînée pour capturer les artefacts de bas niveau introduits par le modèle génératif.	Este modelo puede detectar imágenes completamente sintéticas en formato webp generadas por ProGAN o arquitecturas similares. La arquitectura del modelo es una variante de ResNet-50, entrenada para capturar artefactos de bajo nivel introducidos por el modelo generativo.	Αυτό το μοντέλο μπορεί να ανιχνεύσει πλήρως συνθετικές εικόνες σε μορφή webp που δημιουργούνται από το ProGAN ή παρόμοιες αρχιτεκτονικές. Η αρχιτεκτονική του μοντέλου είναι μια παραλλαγή του ResNet-50, εκπαιδευμένη να καταγράφει χαμηλού επιπέδου τεχνουργήματα που εισάγονται από το γενετικό μοντέλο.	Questo modello può rilevare immagini completamente sintetiche in formato webp generate da ProGAN o architetture simili. L'architettura del modello è una variante del ResNet-50, addestrata per catturare artefatti di basso livello introdotti dal modello generativo.	يمكن لهذا النموذج اكتشاف الصور الاصطناعية تمامًا بتنسيق webp التي تم إنشاؤها بواسطة ProGAN أو البنى المماثلة. يعد هيكل النموذج متغيرًا من ResNet-50، تم تدريبه لالتقاط القطع الأثرية منخفضة المستوى التي يقدمها النموذج التوليدي.	Dieses Modell kann vollständig synthetische Bilder im Webp-Format erkennen, die von ProGAN oder ähnlichen Architekturen generiert wurden. Die Architektur des Modells ist eine Variante von ResNet-50, die darauf trainiert wurde, niedrige Artefakte zu erfassen, die durch das generative Modell eingeführt wurden.	このモデルは、ProGAN または同様のアーキテクチャによって生成された WebP 形式の完全合成画像を検出できます。モデルのアーキテクチャは ResNet-50 のバリアントであり、生成モデルによって導入された低レベルのアーティファクトをキャプチャするようにトレーニングされています。	Ez a modell képes felismerni a ProGAN vagy hasonló architektúrák által generált teljesen szintetikus képeket webp formátumban. A modell architektúrája a ResNet-50 egyik változata, amelyet a generatív modell által bevezetett alacsony szintű artefaktumok rögzítésére képeztek ki.	Este modelo pode detectar imagens totalmente sintéticas no formato webp geradas por ProGAN ou arquiteturas similares. A arquitetura do modelo é uma variante do ResNet-50, treinada para capturar artefatos de baixo nível introduzidos pelo modelo generativo.	Ovaj model može detektirati potpuno sintetičke slike u webp formatu generirane ProGAN-om ili sličnim arhitekturama. Arhitektura modela je varijanta ResNet-50, trenirana za hvatanje niskorazinskih artefakata uvedenih generativnim modelom.	Ta model lahko zazna popolnoma sintetične slike v formatu webp, ustvarjene s ProGAN-om ali podobnimi arhitekturami. Arhitektura modela je različica ResNet-50, usposobljena za zajemanje nizkonivojskih artefaktov, ki jih je uvedel generativni model.	Ovaj model može detektirati potpuno sintetičke slike u webp formatu generirane ProGAN-om ili sličnim arhitekturama. Arhitektura modela je varijanta ResNet-50, trenirana za hvatanje niskorazinskih artefakata uvedenih generativnim modelom.
synthetic_image_detection_ldm_r50_mever_name	LDM r50	LDM r50	LDM r50	LDM r50	LDM r50	LDM r50	LDM r50	LDM r50	LDM r50	LDM r50	LDM r50	LDM r50	LDM r50
synthetic_image_detection_ldm_r50_mever_description	This model can detect fully synthetic images generated by Latent Diffusion Models or architectures that are similar. The model's architecture is a variant of ResNet-50, trained to capture low-level artifacts introduced by the generative model.	Ce modèle peut détecter des images entièrement synthétiques générées par des modèles de diffusion latente ou des architectures similaires. L'architecture du modèle est une variante du ResNet-50, entraînée pour capturer les artefacts de bas niveau introduits par le modèle génératif.	Este modelo puede detectar imágenes completamente sintéticas generadas por Modelos de Difusión Latente o arquitecturas similares. La arquitectura del modelo es una variante de ResNet-50, entrenada para capturar artefactos de bajo nivel introducidos por el modelo generativo.	Αυτό το μοντέλο μπορεί να ανιχνεύσει πλήρως συνθετικές εικόνες που δημιουργούνται από Μοντέλα Διάχυσης Latent ή παρόμοιες αρχιτεκτονικές. Η αρχιτεκτονική του μοντέλου είναι μια παραλλαγή του ResNet-50, εκπαιδευμένη να καταγράφει χαμηλού επιπέδου τεχνουργήματα που εισάγονται από το γενετικό μοντέλο.	Questo modello può rilevare immagini completamente sintetiche generate da modelli di diffusione latente o architetture simili. L'architettura del modello è una variante del ResNet-50, addestrata per catturare artefatti di basso livello introdotti dal modello generativo.	يمكن لهذا النموذج اكتشاف الصور الاصطناعية تمامًا التي تم إنشاؤها بواسطة نماذج الانتشار الكامن أو البنى المماثلة. يعد هيكل النموذج متغيرًا من ResNet-50، تم تدريبه لالتقاط القطع الأثرية منخفضة المستوى التي يقدمها النموذج التوليدي.	Dieses Modell kann vollständig synthetische Bilder erkennen, die von Latent-Diffusionsmodellen oder ähnlichen Architekturen generiert wurden. Die Architektur des Modells ist eine Variante von ResNet-50, die darauf trainiert wurde, niedrige Artefakte zu erfassen, die durch das generative Modell eingeführt wurden.	このモデルは、潜在拡散モデルまたは同様のアーキテクチャによって生成された完全合成画像を検出できます。モデルのアーキテクチャは ResNet-50 のバリアントであり、生成モデルによって導入された低レベルのアーティファクトをキャプチャするようにトレーニングされています。	Ez a modell képes felismerni a Latens Diffúziós Modellek vagy hasonló architektúrák által generált teljesen szintetikus képeket. A modell architektúrája a ResNet-50 egyik változata, amelyet a generatív modell által bevezetett alacsony szintű artefaktumok rögzítésére képeztek ki.	Este modelo pode detectar imagens totalmente sintéticas geradas por Modelos de Difusão Latente ou arquiteturas similares. A arquitetura do modelo é uma variante do ResNet-50, treinada para capturar artefatos de baixo nível introduzidos pelo modelo generativo.	Ovaj model može detektirati potpuno sintetičke slike generirane Latentnim difuzijskim modelima ili sličnim arhitekturama. Arhitektura modela je varijanta ResNet-50, trenirana za hvatanje niskorazinskih artefakata uvedenih generativnim modelom.	Ta model lahko zazna popolnoma sintetične slike, ustvarjene z latentnimi difuzijskimi modeli ali podobnimi arhitekturami. Arhitektura modela je različica ResNet-50, usposobljena za zajemanje nizkonivojskih artefaktov, ki jih je uvedel generativni model.	Ovaj model može detektirati potpuno sintetičke slike generirane Latentnim difuzijskim modelima ili sličnim arhitekturama. Arhitektura modela je varijanta ResNet-50, trenirana za hvatanje niskorazinskih artefakata uvedenih generativnim modelom.
synthetic_image_detection_sd21_bfree-dino2reg4_grip_name	B-Free	B-Free	B-Free	B-Free	B-Free	B-Free	B-Free	B-Free	B-Free	B-Free	B-Free	B-Free	B-Free
synthetic_image_detection_sd21_bfree-dino2reg4_grip_description	"Official ""B-Free"" implementation. It is a method designed to mitigate biases in the training data, enhancing the detection of artifacts introduced by AI generation. It improves generalization and robustness while yielding more calibrated results."	"Implémentation officielle de ""B-Free"". Il s’agit d’une méthode conçue pour atténuer les biais dans les données d’entraînement, améliorant la détection des artefacts introduits par la génération IA. Elle améliore la généralisation et la robustesse tout en fournissant des résultats plus calibrés."	"Implementación oficial de ""B-Free"". Es un método diseñado para mitigar los sesgos en los datos de entrenamiento, mejorando la detección de artefactos introducidos por la generación de IA. Mejora la generalización y la robustez, a la vez que ofrece resultados más calibrados."	"Επίσημη υλοποίηση του ""B-Free"". Πρόκειται για μια μέθοδο που έχει σχεδιαστεί για να μετριάζει τις προκαταλήψεις στα δεδομένα εκπαίδευσης, ενισχύοντας την ανίχνευση τεχνητών στοιχείων που εισάγονται από την παραγωγή ΤΝ. Βελτιώνει τη γενίκευση και τη σταθερότητα, ενώ παράλληλα προσφέρει πιο βαθμονομημένα αποτελέσματα."	"Implementazione ufficiale di ""B-Free"". È un metodo progettato per mitigare i bias nei dati di addestramento, migliorando il rilevamento degli artefatti introdotti dalla generazione IA. Migliora la generalizzazione e la robustezza, fornendo al contempo risultati più calibrati."	"التنفيذ الرسمي لـ ""B-Free"". إنها طريقة مصممة للتقليل من التحيزات في بيانات التدريب، مما يعزز اكتشاف الشوائب التي تُدخلها عملية التوليد بالذكاء الاصطناعي. تحسن من التعميم والمتانة، وتنتج نتائج أكثر معايرة."	"Offizielle Implementierung von ""B-Free"". Es handelt sich um eine Methode, die entwickelt wurde, um Verzerrungen in den Trainingsdaten zu mindern und die Erkennung von Artefakten zu verbessern, die durch KI-Generierung eingeführt werden. Sie verbessert die Generalisierbarkeit und Robustheit und liefert gleichzeitig besser kalibrierte Ergebnisse."	「B-Free」の公式実装。これは、トレーニングデータのバイアスを軽減し、AI生成によって導入されたアーティファクトの検出を強化するように設計されたメソッドです。汎化と堅牢性を向上させるとともに、より調整された結果をもたらします。	"A ""B-Free"" hivatalos implementációja. Ez egy olyan módszer, amelyet a tréningadatokban lévő torzítások mérséklésére terveztek, javítva az AI generáció által bevezetett műtermékek észlelését. Javítja az általánosíthatóságot és a robusztusságot, miközben kalibráltabb eredményeket ad."	"Implementação oficial de ""B-Free"". É um método projetado para mitigar vieses nos dados de treinamento, aprimorando a detecção de artefatos introduzidos pela geração de IA. Melhora a generalização e a robustez, ao mesmo tempo em que oferece resultados mais calibrados."	"Službena implementacija ""B-Free"". To je metoda osmišljena za ublažavanje pristranosti u podacima o obuci, poboljšavajući otkrivanje artefakata uvedenih generiranjem umjetne inteligencije. Poboljšava generalizaciju i robusnost, dok istovremeno daje kalibriranije rezultate."	"Uradna implementacija ""B-Free"". Gre za metodo, zasnovano za zmanjšanje pristranskosti v podatkih o usposabljanju, ki izboljšuje zaznavanje artefaktov, ki jih uvaja generiranje z umetno inteligenco. Izboljšuje posploševanje in robustnost, hkrati pa prinaša bolj umerjene rezultate."	"Službena implementacija ""B-Free"". To je metoda osmišljena za ublažavanje pristranosti u podacima o obuci, poboljšavajući otkrivanje artefakata uvedenih generiranjem umjetne inteligencije. Poboljšava generalizaciju i robusnost, dok istovremeno daje kalibriranije rezultate."
synthetic_image_detection_multi_bfree-dino2reg4_grip_name	DINO-multiGen	DINO-multiGen	DINO-multiGen	DINO-multiGen	DINO-multiGen	DINO-multiGen	DINO-multiGen	DINO-multiGen	DINO-multiGen	DINO-multiGen	DINO-multiGen	DINO-multiGen	DINO-multiGen
synthetic_image_detection_multi_bfree-dino2reg4_grip_description	Leveraging a wide range of generators during training, it provides high real-world detection performance.	En tirant parti d’un large éventail de générateurs pendant l’entraînement, il offre de hautes performances de détection en conditions réelles.	Aprovechando una amplia gama de generadores durante el entrenamiento, proporciona un alto rendimiento de detección en el mundo real.	Αξιοποιώντας μια ευρεία γκάμα γεννητριών κατά την εκπαίδευση, παρέχει υψηλές επιδόσεις ανίχνευσης στον πραγματικό κόσμο.	Sfruttando un’ampia gamma di generatori durante l’addestramento, fornisce elevate prestazioni di rilevamento nel mondo reale.	من خلال الاستفادة من مجموعة واسعة من المولدات أثناء التدريب، يوفر أداءً عالياً في الكشف في العالم الواقعي.	Dank der Nutzung einer breiten Palette von Generatoren während des Trainings bietet es eine hohe Erkennungsleistung in realen Szenarien.	学習時に幅広いジェネレーターを活用することで、実世界での高い検出性能を発揮します。	A képzés során széles körű generátorokat használva magas szintű valós detekciós teljesítményt nyújt.	Ao aproveitar uma ampla variedade de geradores durante o treino, oferece elevado desempenho de deteção no mundo real.	Koristeći širok raspon generatora tijekom treninga, pruža visoke performanse detekcije u stvarnom svijetu.	Z izkoriščanjem širokega nabora generatorjev med usposabljanjem zagotavlja visoko zmogljivost zaznavanja v realnem svetu.	Koristeći širok raspon generatora tijekom treninga, pruža visoke performanse detekcije u stvarnom svijetu.
