en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
forensic_card_cagiInversed	JPEG compression operates in an 8-by-8 grid, which is near-invisible but detectable. Adding or moving an object on an image may locally disrupt this grid. The CAGI-Inverse algorithm is complementary to CAGI in seeking such discrepancies. The algorithm produces local blue “blobs” where it detects grid discrepancies. Generally, the CAGI algorithm is less distracted by textures in the image, and focuses on grid disturbances. However, it should mostly be interpreted in combination with other algorithm outputs that highlight the same regions.	La compression JPEG fonctionne dans une grille de 8 par 8, qui est presque invisible mais détectable. L'ajout ou le déplacement d'un objet sur une image peut perturber localement cette grille. L'algorithme CAGI-Inverse est complémentaire de CAGI dans la recherche de telles divergences. L'algorithme produit des tâches blanches ou bleues claires locales où il détecte les divergences de grille. En général, l'algorithme CAGI est moins distrait par les textures de l'image et se concentre sur les perturbations de la grille. Cependant, elle doit être interprétée le plus souvent en combinaison avec d'autres sorties d'algorithmes qui mettent en évidence les mêmes régions.	La compresión JPEG funciona en una cuadrícula de 8 por 8, que es casi invisible pero detectable. Agregar o mover un objeto en una imagen puede interrumpir localmente esta cuadrícula. El algoritmo CAGI-Inverse es complementario a CAGI en la búsqueda de tales discrepancias. El algoritmo produce manchas azules claras locales donde detecta las discrepancias de la red. Generalmente, el algoritmo CAGI está menos distraído por las texturas de la imagen y se centra en las perturbaciones de la rejilla. Sin embargo, debe ser interpretado en su mayor parte en combinación con otras salidas de algoritmo que resalten las mismas regiones.	Η συμπίεση JPEG εφαρμόζεται σε ένα πλέγμα 8x8, το οποίο είναι σχεδόν μη ορατό αλλά ανιχνεύσιμο. Η προσθήκη ή μετακίνηση ενός αντικειμένου σε μια εικόνα ενδέχεται να διαταράξει τοπικά αυτό το πλέγμα. Ο αλγόριθμος CAGI-Inverse είναι συμπληρωματικός του CAGI στην αναζήτηση τέτοιων αποκλίσεων. Ο αλγόριθμος παράγει τοπικές μπλε «κηλίδες» όπου ανιχνεύει αποκλίσεις πλέγματος. Γενικά, ο αλγόριθμος CAGI αποσπάται λιγότερο από τις υφές στην εικόνα και εστιάζει στις διαταραχές του πλέγματος. Ωστόσο, θα πρέπει ως επί το πλείστον να ερμηνεύεται σε συνδυασμό με άλλες εξόδους αλγορίθμων που επισημαίνουν τις ίδιες περιοχές.	La compressione JPEG opera in una griglia 8x8, quasi invisibile ma rilevabile. L'aggiunta o lo spostamento di un oggetto su un'immagine può disturbare localmente questa griglia. L'algoritmo CAGI-Inverse è complementare a CAGI nella ricerca di tali discrepanze. L'algoritmo produce "macchie" blu locali dove rileva discrepanze di griglia. Generalmente, l'algoritmo CAGI è meno distratto dalle trame dell'immagine e si concentra sui disturbi della griglia. Tuttavia, dovrebbe essere interpretato principalmente in combinazione con altri output di algoritmi che evidenziano le stesse regioni.	Kompresija JPEG deluje v mreži 8x8, ki je skoraj nevidna, a zaznavna. Dodajanje ali premikanje predmeta na sliki lahko lokalno zmoti to mrežo. Algoritem CAGI-Inverse je komplementaren algoritmu CAGI pri iskanju takšnih razlik. Algoritem ustvari lokalne modre "mehurčke", kjer zazna razlike v mreži. Na splošno algoritem CAGI manj motijo teksture v sliki in se osredotoča na motnje v mreži. Vendar pa ga je treba večinoma razlagati v kombinaciji z drugimi izhodi algoritmov, ki poudarjajo ista področja.	Die JPEG-Komprimierung arbeitet in einem 8-mal-8-Raster, das nahezu unsichtbar, aber erkennbar ist. Das Hinzufügen oder Verschieben eines Objekts auf einem Bild kann dieses Raster lokal stören. Der CAGI-Inverse-Algorithmus ist komplementär zu CAGI bei der Suche nach solchen Diskrepanzen. Der Algorithmus erzeugt lokale blaue „Blobs“, wo er Gitterdiskrepanzen erkennt. Im Allgemeinen wird der CAGI-Algorithmus weniger von Texturen im Bild abgelenkt und konzentriert sich auf Gitterstörungen. Es sollte jedoch hauptsächlich in Kombination mit anderen Algorithmusausgaben interpretiert werden, die dieselben Regionen hervorheben.	JPEG圧縮は8x8のグリッドで動作し、ほとんど見えませんが検出可能です。画像上のオブジェクトを追加または移動すると、このグリッドが局所的に乱れる可能性があります。 CAGI-Inverseアルゴリズムは、そのような不一致を探す際にCAGIを補完します。アルゴリズムは、グリッドの不一致を検出した場所に局所的な青い「ブロブ」を生成します。一般に、CAGIアルゴリズムは画像のテクスチャにあまり気を取られず、グリッドの乱れに焦点を合わせます。ただし、主に同じ領域を強調表示する他のアルゴリズム出力と組み合わせて解釈する必要があります。	A JPEG-tömörítés egy 8x8-as rácsban működik, amely szinte láthatatlan, de érzékelhető. Egy objektum hozzáadása vagy mozgatása egy képen helyileg megzavarhatja ezt a rácsot. A CAGI-inverz algoritmus kiegészíti a CAGI-t az ilyen eltérések keresésében. Az algoritmus helyi kék „foltokat” hoz létre, ahol rácshez képest eltéréseket észlel. Általában a CAGI algoritmust kevésbé vonják el a kép textúrái, és a rácszavarokra összpontosít. Azonban többnyire más, azonos régiókat kiemelő algoritmus kimenetekkel kombinálva kell értelmezni.	A compressão JPEG funciona em uma grade de 8 por 8, que é quase invisível, mas detectável. Adicionar ou mover um objeto em uma imagem pode interromper localmente essa grade. O algoritmo CAGI-Inverse é complementar ao CAGI na busca de tais discrepâncias. O algoritmo produz manchas azuis claras locais onde detecta as discrepâncias da rede. Geralmente, o algoritmo CAGI está menos distraído pelas texturas da imagem e se concentra nas perturbações da rede. No entanto, deve ser interpretado em sua maior parte em combinação com outras saídas de algoritmo que ressaltem as mesmas regiões.	JPEG kompresija radi u mreži 8x8, koja je gotovo nevidljiva, ali se može otkriti. Dodavanje ili premještanje objekta na slici može lokalno poremetiti ovu mrežu. Algoritam CAGI-Inverse komplementaran je CAGI-ju u traženju takvih nedosljednosti. Algoritam proizvodi lokalne plave "mrlje" gdje otkriva nedosljednosti mreže. Općenito, CAGI algoritam manje ometaju teksture na slici i usredotočuje se na poremećaje mreže. Međutim, treba ga uglavnom tumačiti u kombinaciji s drugim izlazima algoritma koji ističu ista područja.	Kompresija JPEG deluje v mreži 8x8, ki je skoraj nevidna, a zaznavna. Dodajanje ali premikanje predmeta na sliki lahko lokalno zmoti to mrežo. Algoritem CAGI-Inverse je komplementaren algoritmu CAGI pri iskanju takšnih razlik. Algoritem ustvari lokalne modre "mehurčke", kjer zazna razlike v mreži. Na splošno algoritem CAGI manj motijo teksture v sliki in se osredotoča na motnje v mreži. Vendar pa ga je treba večinoma razlagati v kombinaciji z drugimi izhodi algoritmov, ki poudarjajo ista področja.
forensic_card_wavelet_report	Each image carries invisible, high-frequency noise that is the result of the capturing process as well as the compression. The Discrete Wavelet Noise algorithm filters the image and calculates the local noise distribution at each part of the image. Regions that differ from the rest of the image are highlighted in strong white, and are likely to originate from other images. As this algorithm is often misguided by differences in texture and focus, it is best interpreted in combination with other algorithms.	Chaque image est porteuse d'un bruit invisible à haute fréquence qui est le résultat du processus de capture ainsi que de la compression. L'algorithme de bruit d'ondelettes discrètes filtre l'image et calcule la distribution locale du bruit à chaque partie de l'image. Les régions qui diffèrent du reste de l'image sont surlignées en blanc vif et sont susceptibles de provenir d'autres images. Comme cet algorithme est souvent mal guidé par des différences de texture et de focalisation, il est préférable de l'interpréter en combinaison avec d'autres filtres.	Cada imagen lleva un ruido invisible de alta frecuencia que es el resultado del proceso de captura así como de la compresión. El algoritmo Discrete Wavelet Noise filtra la imagen y calcula la distribución local del ruido en cada parte de la imagen. Las regiones que difieren del resto de la imagen se resaltan en blanco intenso y es probable que se originen en otras imágenes. Como este algoritmo a menudo se confunde por las diferencias de textura y enfoque, se interpreta mejor en combinación con otros filtros.	Κάθε εικόνα μεταφέρει αόρατο θόρυβο υψηλής συχνότητας που είναι το αποτέλεσμα της διαδικασίας σύλληψης και συμπίεσης της εικόνας. Ο αλγόριθμος με βάση το Θόρυβο Διακριτού Κυματιδίου (Discrete Wavelet Noise) εφαρμόζει ένα ψηφιακό φίλτρο στην εικόνα και υπολογίζει την τοπική κατανομή του θορύβου στην εικόνα. Περιοχές που διαφέρουν από την υπόλοιπη εικόνα τονίζονται με ισχυρό λευκό και είναι πιθανό να προέρχονται από άλλες εικόνες. Καθώς αυτός ο αλγόριθμος παραπλανάται συχνά από διαφορές στην υφή και την εστίαση, ερμηνεύεται καλύτερα σε συνδυασμό με άλλους αλγορίθμους.	Ogni immagine porta rumore invisibile ad alta frequenza che è il risultato del processo di cattura e della compressione. L'algoritmo Discrete Wavelet Noise filtra l'immagine e calcola la distribuzione locale del rumore in ogni parte dell'immagine. Le regioni che differiscono dal resto dell'immagine sono evidenziate in bianco forte e probabilmente provengono da altre immagini. Poiché questo algoritmo è spesso fuorviato da differenze di trama e messa a fuoco, è meglio interpretarlo in combinazione con altri algoritmi.	Vsaka slika nosi neviden, visokofrekvenčni šum, ki je posledica postopka zajemanja in stiskanja. Algoritem diskretnega valovnega šuma filtrira sliko in izračuna lokalno porazdelitev šuma na vsakem delu slike. Predeli, ki se razlikujejo od preostale slike, so poudarjeni z močno belo barvo in verjetno izvirajo iz drugih slik. Ker je ta algoritem pogosto zaveden z razlikami v teksturi in osredotočenosti, ga je najbolje razlagati v kombinaciji z drugimi algoritmi.	Jedes Bild trägt unsichtbares Hochfrequenzrauschen, das das Ergebnis des Erfassungsprozesses sowie der Komprimierung ist. Der diskrete Wavelet-Rauschalgorithmus filtert das Bild und berechnet die lokale Rauschverteilung an jedem Teil des Bildes. Bereiche, die sich vom Rest des Bildes unterscheiden, werden in kräftigem Weiß hervorgehoben und stammen wahrscheinlich von anderen Bildern. Da dieser Algorithmus oft von Unterschieden in Textur und Fokus irregeführt wird, wird er am besten in Kombination mit anderen Algorithmen interpretiert.	各画像には、キャプチャプロセスと圧縮の結果である目に見えない高周波ノイズが含まれています。離散ウェーブレットノイズアルゴリズムは、画像をフィルタリングし、画像の各部分の局所的なノイズ分布を計算します。画像の他の部分と異なる領域は、強い白で強調表示され、他の画像に由来する可能性があります。このアルゴリズムは、テクスチャと焦点の違いによって誤解されることが多いため、他のアルゴリズムと組み合わせて解釈するのが最適です。	Minden kép láthatatlan, nagyfrekvenciás zajt hordoz, amely a rögzítési folyamat és a tömörítés eredménye. A diszkrét hullámzaj-algoritmus szűri a képet, és kiszámítja a helyi zajeloszlást a kép minden részén. A kép többi részétől eltérő régiók erősen fehérrel vannak kiemelve, és valószínűleg más képekből származnak. Mivel ezt az algoritmust gyakran félrevezetik a textúra és a fókusz különbségei, a legjobb, ha más algoritmusokkal kombinálva értelmezzük.	Cada imagem carrega um ruído invisível de alta frequência que é o resultado do processo de captura, bem como da compressão. O algoritmo Discrete Wavelet Noise filtra a imagem e calcula a distribuição local do ruído em cada parte da imagem. As regiões que diferem do resto da imagem são destacadas em branco intenso e é provável que se originem de outras imagens. Como este algoritmo muitas vezes se confunde pelas diferenças de textura e foco, interpreta-se melhor em combinação com outros filtros.	Svaka slika nosi nevidljivi, visokofrekventni šum koji je rezultat procesa snimanja i kompresije. Algoritam diskretnog valovitog šuma filtrira sliku i izračunava lokalnu raspodjelu šuma na svakom dijelu slike. Regije koje se razlikuju od ostatka slike istaknute su jakom bijelom bojom i vjerojatno potječu iz drugih slika. Budući da je ovaj algoritam često zaveden razlikama u teksturi i fokusu, najbolje ga je tumačiti u kombinaciji s drugim algoritmima.	Vsaka slika nosi neviden, visokofrekvenčni šum, ki je posledica postopka zajemanja in stiskanja. Algoritem diskretnega valovnega šuma filtrira sliko in izračuna lokalno porazdelitev šuma na vsakem delu slike. Predeli, ki se razlikujejo od preostale slike, so poudarjeni z močno belo barvo in verjetno izvirajo iz drugih slik. Ker je ta algoritem pogosto zaveden z razlikami v teksturi in osredotočenosti, ga je najbolje razlagati v kombinaciji z drugimi algoritmi.
forensic_card_blk_report	JPEG compression operates in an 8-by-8 grid, which is near-invisible but detectable. Adding or moving an object on an image may locally disrupt this grid. The BLOCK algorithm detects the image grid and looks for local discrepancies. Any coherent region with different color to its surroundings may correspond to tampering, although white and light-green against a dark background are the most typical indication of tampering. As this algorithm is often misguided by differences in texture and focus, it is best interpreted in combination with other algorithms.	La compression JPEG fonctionne dans une grille de 8 par 8, qui est presque invisible mais détectable. L'ajout ou le déplacement d'un objet sur une image peut perturber localement cette grille. L'algorithme BLOCK détecte la grille d'image et recherche les divergences locales. Toute région cohérente avec une couleur différente de celle de son environnement peut correspondre à une altération, bien que les blancs et les verts clairs sur fond obscur soient l'indication la plus typique d'une altération. Comme cet algorithme est souvent mal guidé par des différences de texture et de focalisation, il est préférable de l'interpréter en combinaison avec d'autres filtres.	La compresión JPEG funciona en una cuadrícula de 8 por 8, que es casi invisible pero detectable. Agregar o mover un objeto en una imagen puede interrumpir localmente esta cuadrícula. El algoritmo BLOCK detecta la cuadrícula de la imagen y busca discrepancias locales. Cualquier región coherente con un color diferente al de su entorno puede corresponder a la manipulación, aunque los blancos y verdes claros sobre un fondo oscuro son la indicación más típica de manipulación. Como este algoritmo a menudo se confunde por las diferencias de textura y enfoque, se interpreta mejor en combinación con otros filtros.	Η συμπίεση JPEG εφαρμόζεται σε ένα πλέγμα 8x8, το οποίο είναι σχεδόν μη ορατό αλλά ανιχνεύσιμο. Η προσθήκη ή μετακίνηση ενός αντικειμένου σε μια εικόνα ενδέχεται να διαταράξει τοπικά αυτό το πλέγμα. Ο αλγόριθμος BLOCK ανιχνεύει το πλέγμα της εικόνας και αναζητά τοπικές αποκλίσεις. Οποιαδήποτε συνεκτική περιοχή με διαφορετικό χρώμα από το περιβάλλον της μπορεί να αντιστοιχεί σε παραποίηση, αν και οι λευκές και ανοιχτοπράσινες περιοχές σε σκούρο φόντο είναι η πιο χαρακτηριστική ένδειξη παραποίησης. Καθώς αυτός ο αλγόριθμος παραπλανάται συχνά από διαφορές στην υφή και την εστίαση, ερμηνεύεται καλύτερα σε συνδυασμό με άλλους αλγορίθμους.	La compressione JPEG opera in una griglia 8x8, quasi invisibile ma rilevabile. L'aggiunta o lo spostamento di un oggetto su un'immagine può disturbare localmente questa griglia. L'algoritmo BLOCK rileva la griglia dell'immagine e cerca discrepanze locali. Qualsiasi regione coerente con un colore diverso dall'ambiente circostante può corrispondere a una manomissione, sebbene il bianco e il verde chiaro su uno sfondo scuro siano l'indicazione più tipica di manomissione. Poiché questo algoritmo è spesso fuorviato da differenze di trama e messa a fuoco, è meglio interpretarlo in combinazione con altri algoritmi.	Kompresija JPEG deluje v mreži 8x8, ki je skoraj nevidna, a zaznavna. Dodajanje ali premikanje predmeta na sliki lahko lokalno zmoti to mrežo. Algoritem BLOCK zazna mrežo slike in poišče lokalne razlike. Vsaka skladna regija z drugačno barvo od okolice lahko ustreza poseganju, čeprav sta bela in svetlozelena na temnem ozadju najbolj tipična znaka poseganja. Ker je ta algoritem pogosto zaveden z razlikami v teksturi in osredotočenosti, ga je najbolje razlagati v kombinaciji z drugimi algoritmi.	Die JPEG-Komprimierung arbeitet in einem 8-mal-8-Raster, das nahezu unsichtbar, aber erkennbar ist. Das Hinzufügen oder Verschieben eines Objekts auf einem Bild kann dieses Raster lokal stören. Der BLOCK-Algorithmus erkennt das Bildraster und sucht nach lokalen Diskrepanzen. Jede kohärente Region mit einer anderen Farbe als ihre Umgebung kann einer Manipulation entsprechen, obwohl Weiß und Hellgrün vor einem dunklen Hintergrund der typischste Hinweis auf eine Manipulation sind. Da dieser Algorithmus oft von Unterschieden in Textur und Fokus irregeführt wird, wird er am besten in Kombination mit anderen Algorithmen interpretiert.	JPEG圧縮は8x8のグリッドで動作し、ほとんど見えませんが検出可能です。画像上のオブジェクトを追加または移動すると、このグリッドが局所的に乱れる可能性があります。 BLOCKアルゴリズムは、画像グリッドを検出し、局所的な不一致を探します。周囲と色が異なる一貫した領域は、改ざんに対応している可能性がありますが、暗い背景に対する白と薄緑色が、改ざんの最も典型的な兆候です。このアルゴリズムは、テクスチャと焦点の違いによって誤解されることが多いため, 他のアルゴリズムと組み合わせて解釈するのが最適です。	A JPEG-tömörítés egy 8x8-as rácsban működik, amely szinte láthatatlan, de érzékelhető. Egy objektum hozzáadása vagy mozgatása egy képen helyileg megzavarhatja ezt a rácsot. A BLOCK algoritmus érzékeli a képrácsot, és helyi eltéréseket keres. Bármely koherens régió, amelynek színe eltér a környezetétől, megfelelhet a manipulációnak, bár a sötét háttér előtti fehér és világoszöld a legjellemzőbb jele a manipulációnak. Mivel ezt az algoritmust gyakran félrevezetik a textúra és a fókusz különbségei, a legjobb, ha más algoritmusokkal kombinálva értelmezzük.	A compressão JPEG funciona em uma grade de 8 por 8, que é quase invisível, mas detectável. Adicionar ou mover um objeto em uma imagem pode interromper localmente essa grade. O algoritmo BLOCK detecta a grade da imagem e busca discrepâncias locais. Qualquer região coerente com uma cor diferente da de seu entorno pode corresponder à manipulação, embora os brancos e verdes claros sobre um fundo escuro sejam a indicação mais típica de manipulação. Como este algoritmo muitas vezes se confunde pelas diferenças de textura e foco, interpreta-se melhor em combinação com outros filtros.	JPEG kompresija radi u mreži 8x8, koja je gotovo nevidljiva, ali se može otkriti. Dodavanje ili premještanje objekta na slici može lokalno poremetiti ovu mrežu. Algoritam BLOCK otkriva mrežu slike i traži lokalne nedosljednosti. Svaka koherentna regija s različitom bojom od okoline može odgovarati neovlaštenom mijenjanju, iako su bijela i svijetlozelena na tamnoj pozadini najtipičniji pokazatelj neovlaštenog mijenjanja. Budući da je ovaj algoritam često zaveden razlikama u teksturi i fokusu, najbolje ga je tumačiti u kombinaciji s drugim algoritmima.	Kompresija JPEG deluje v mreži 8x8, ki je skoraj nevidna, a zaznavna. Dodajanje ali premikanje predmeta na sliki lahko lokalno zmoti to mrežo. Algoritem BLOCK zazna mrežo slike in poišče lokalne razlike. Vsaka skladna regija z drugačno barvo od okolice lahko ustreza poseganju, čeprav sta bela in svetlozelena na temnem ozadju najbolj tipična znaka poseganja. Ker je ta algoritem pogosto zaveden z razlikami v teksturi in osredotočenosti, ga je najbolje razlagati v kombinaciji z drugimi algoritmi.
forensic_card_ghost_report	The JPEG Ghosts algorithm is based on recompressing the image in multiple different qualities and subtracting each of them from the original. The resulting difference images are post-processed to highlight regions that stand out and are likely to originate from a different JPEG image. Then, the images most likely to contain interesting findings are selected (i.e. those that feature localized inconsistencies). Consistent white, light-green or light-blue regions against a black background may correspond to traces of tampering, especially if they do not correspond to edges, but to entire regions.	L'algorithme JPEG Ghosts est basé sur la recompression de l'image en plusieurs qualités différentes et la soustraction de chacune d'elles de l'original. Les images résultantes de cette différence sont post-traitées pour mettre en évidence les régions qui se distinguent et sont susceptibles de provenir d'une image JPEG différente. Ensuite, les images les plus susceptibles de contenir des résultats intéressants sont sélectionnées (c'est-à-dire celles qui présentent des incohérences localisées). Des zones blanche, vert pâle, ou bleue pâle constantes sur fond noir peuvent correspondre à des traces d'altération, surtout si elles ne correspondent pas à des bords, mais à des zones entières.	El algoritmo JPEG Ghosts se basa en recomprimir la imagen en múltiples calidades diferentes y restar cada una de ellas del original. Las imágenes de las diferencias resultantes se procesan posteriormente para resaltar las regiones que destacan y que probablemente se originen a partir de una imagen JPEG diferente. Luego, se seleccionan las imágenes que tienen más probabilidades de contener hallazgos interesantes (es decir, aquellas que presentan inconsistencias localizadas). Las regiones blancas, verdes claras, o azules y claras consistentes sobre un fondo negro pueden corresponder a rastros de manipulación, especialmente si no corresponden a bordes, sino a regiones enteras.	Ο αλγόριθμος JPEG Ghosts βασίζεται στην επανασυμπίεση της εικόνας σε πολλαπλές διαφορετικές ποιότητες και στην αφαίρεση καθεμιάς από αυτές από την αρχική. Οι εικόνες διαφοράς που προκύπτουν υποβάλλονται σε μετα-επεξεργασία για να επισημανθούν οι περιοχές που ξεχωρίζουν και είναι πιθανό να προέρχονται από διαφορετική εικόνα JPEG. Στη συνέχεια, επιλέγονται οι εικόνες που είναι πιο πιθανό να περιέχουν ενδιαφέροντα ευρήματα (δηλαδή αυτές που παρουσιάζουν εντοπισμένες ασυνέπειες). Οι σταθερές λευκές, ανοιχτοπράσινες ή γαλάζιες περιοχές σε μαύρο φόντο μπορεί να αντιστοιχούν σε ίχνη παραποίησης, ειδικά εάν δεν αντιστοιχούν σε άκρες, αλλά σε ολόκληρες περιοχές.	L'algoritmo JPEG Ghosts si basa sulla ricompressione dell'immagine in più qualità diverse e sulla sottrazione di ciascuna di esse dall'originale. Le immagini di differenza risultanti vengono post-elaborate per evidenziare le regioni che si distinguono e che probabilmente provengono da un'immagine JPEG diversa. Quindi, vengono selezionate le immagini che hanno maggiori probabilità di contenere risultati interessanti (cioè quelle che presentano incongruenze localizzate). Regioni bianche, verde chiaro o azzurre coerenti su sfondo nero possono corrispondere a tracce di manomissione, soprattutto se non corrispondono ai bordi, ma a intere regioni.	Algoritem JPEG Ghosts temelji na ponovnem stiskanju slike v več različnih kakovostih in odštevanju vsake od njih od izvirnika. Nastale slike razlik se naknadno obdelajo, da se poudarijo predeli, ki izstopajo in verjetno izvirajo iz druge slike JPEG. Nato se izberejo slike, ki najverjetneje vsebujejo zanimive ugotovitve (tj. tiste, ki imajo lokalizirane nedoslednosti). Dosledne bele, svetlozelene ali svetlo modre regije na črnem ozadju lahko ustrezajo sledovom poseganja, zlasti če ne ustrezajo robovom, ampak celotnim regijam.	Der JPEG-Ghosts-Algorithmus basiert auf der erneuten Komprimierung des Bildes in mehreren verschiedenen Qualitäten und dem Subtrahieren jedes einzelnen vom Original. Die resultierenden Differenzbilder werden nachbearbeitet, um Bereiche hervorzuheben, die hervorstechen und wahrscheinlich von einem anderen JPEG-Bild stammen. Anschließend werden die Bilder ausgewählt, die am wahrscheinlichsten interessante Ergebnisse enthalten (d. H. solche mit lokalisierten Inkonsistenzen). Konsistente weiße, hellgrüne oder hellblaue Bereiche vor schwarzem Hintergrund können Spuren von Manipulationen entsprechen, insbesondere wenn sie nicht Kanten, sondern ganzen Bereichen entsprechen.	JPEG Ghostsアルゴリズムは、画像を複数の異なる品質で再圧縮し、それぞれをオリジナルから差し引くことに基づいています。結果として得られる差分画像は、後処理されて、目立ち、別のJPEG画像から発生する可能性が高い領域を強調表示します。次に、興味深い調査結果を含む可能性が最も高い画像（つまり、局所的な不整合を特徴とする画像）が選択されます。黒い背景に対する一貫した白、薄緑、または水色の領域は、特にエッジに対応していない場合、領域全体に対応している場合、改ざんの痕跡に対応している可能性があります。	A JPEG Ghosts algoritmus a kép többféle minőségben történő újratömörítésén és mindegyiknek az eredetiből való kivonásán alapul. Az így kapott különbségi képeket utófeldolgozzák, hogy kiemeljék azokat a régiókat, amelyek kiemelkednek, és valószínűleg egy másik JPEG képről származnak. Ezután kiválasztják azokat a képeket, amelyek a legvalószínűbben tartalmaznak érdekes leleteket (azaz azokat, amelyek lokalizált inkonzisztenciákat mutatnak). A fekete háttér előtti egységes fehér, világoszöld vagy világoskék régiók megfelelhetnek a manipuláció nyomainak, különösen, ha nem a széleknek, hanem egész régióknak felelnek meg.	O algoritmo JPEG Ghosts baseia-se na recompressão da imagem em múltiplas qualidades diferentes e na subtração de cada uma delas da original. As imagens de diferença resultantes são pós-processadas para destacar as regiões que se destacam e que provavelmente se originam de uma imagem JPEG diferente. Em seguida, selecionam-se as imagens que têm mais probabilidade de conter achados interessantes (ou seja, aquelas que apresentam inconsistências localizadas). As regiões brancas, verdes claras ou azuis e claras consistentes sobre um fundo negro podem corresponder a rastos de manipulação, especialmente se não corresponderem a bordas, mas a regiões inteiras.	Algoritam JPEG Ghosts temelji se na ponovnom komprimiranju slike u više različitih kvaliteta i oduzimanju svake od njih od originala. Dobivene slike razlika se naknadno obrađuju kako bi se istaknule regije koje se ističu i vjerojatno potječu iz druge JPEG slike. Zatim se odabiru slike koje najvjerojatnije sadrže zanimljive nalaze (tj. one koje imaju lokalizirane nedosljednosti). Dosljedne bijele, svijetlozelene ili svijetloplave regije na crnoj pozadini mogu odgovarati tragovima neovlaštenog mijenjanja, osobito ako ne odgovaraju rubovima, već cijelim regijama.	Algoritem JPEG Ghosts temelji na ponovnem stiskanju slike v več različnih kakovostih in odštevanju vsake od njih od izvirnika. Nastale slike razlik se naknadno obdelajo, da se poudarijo predeli, ki izstopajo in verjetno izvirajo iz druge slike JPEG. Nato se izberejo slike, ki najverjetneje vsebujejo zanimive ugotovitve (tj. tiste, ki imajo lokalizirane nedoslednosti). Dosledne bele, svetlozelene ali svetlo modre regije na črnem ozadju lahko ustrezajo sledovom poseganja, zlasti če ne ustrezajo robovom, ampak celotnim regijam.
applied_filter	Applied filter :	filtre appliqué :	Filtro aplicado :	Εφαρμοσμένο φίλτρο:	Filtro applicato:	الفلتر المستخدم	Angewandter Filter:	適用されたフィルター:	Alkalmazott szűrő:	Filtro aplicado:	Primijenjen filter:	Uporabljen filter:
apply_filter	apply filter	appliquer le filtre	aplicar filtro	Εφαρμογή του φίλτρου	applica il filtro	تطبيق الفلتر	Filter anwenden	フィルターを適用する	szűrő alkalmazása	Aplicar filtro	primijeni filter	uporabi filter
forensic_title_none	None	Aucun	Ninguno	Κανένας	Nessuno	لا شيء	Keiner	なし	Nincs	Nenhum	Nijedan	Noben
clear_filter	Clear Filter	Enlever le filtre	Retirar el Filtro	Απαλοιφή φίλτρου	Filtro pulito	مسح الفلتر	Klaren Filter	クリアフィルター	Szűrő törlése	Remover o Filtro	Očisti filter	Počisti filter
forensic_ratio_b_landscape	Portrait	Portrait	Retrato	πορτρέτου	Ritratto	صورة بورتريه	Porträt	ポートレート	Portré	Retrato	Portret	Portret
forensic_ratio_b_portrait	Landscape	Paysage	Paisaje	τοπίου	Paesaggio	صورة أفقية	Landschaft	風景	Tájkép	Paisagem	Pejzaž	Pokrajina
forensic_title_cmfd_report	CMFD	CMFD	CMFD	CMFD	CMFD	CMFD	CMFD	CMFD	CMFD	CMFD	CMFD	CMFD
forensic_title_dct_report	DCT	DCT	DCT	DCT	DCT	DCT	DCT	DCT	DCT	DCT	DCT	DCT
forensic_title_fusion_report	FUSION	FUSION	FUSION	FUSION	FUSION	الدمج	FUSION	融合	FÚZIÓ	FUSÃO	FUSION	FUSION
forensic_title_mantranet_report	Mantranet	Mantranet	Mantranet	Mantranet	Mantranet	Mantranet	Mantranet	マントラネット	Mantranet	Mantranet	Mantranet	Mantranet
forensic_title_splicebuster_report	Splicebuster	Splicebuster	Splicebuster	Splicebuster	Splicebuster	Splicebuster	Splicebuster	スプライスバスター	Splicebuster	Splicebuster	Splicebuster	Splicebuster
forensic_title_zero_report	Zero	Zero	Zero	Zero	Zero	صفر	Zero	ゼロ	Zéró	Zero	Nula	Nič
forensic_title_laplacian_report	Laplacian	Laplacian	Laplacian	Laplacian	Laplacian	لابلاسيان	Laplace	ラプラシアン	Laplace	Laplaciano	Laplacian	Laplacian
forensic_title_rcmfd_report	RCMFD	RCMFD	RCMFD	RCMFD	RCMFD	RCMFD	Rcmfd	RCMFD	RCMFD	RCMFD	RCMFD	RCMFD
forensic_family_compression_title	Compression	Compression	Compresión	συμπίεση	Compressione	ضغط	Kompression	圧縮	Tömörítés	Compressão	Kompresija	Stiskanje
