	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
snaTools_mostMentionedDescription	Visualize the users most mentioned in the dataset (Captured X content only)	Visualisez les utilisateurs les plus mentionnés dans le jeu de données (seulement contenu X capturé)	Visualice los usuarios más mencionados en el conjunto de datos (solo contenido capturado X)	Οπτικοποιήστε τους χρήστες που αναφέρθηκαν περισσότερο στο σύνολο δεδομένων (μόνο καταγεγραμμένο περιεχόμενο X)	Visualizza gli utenti più menzionati nel dataset (solo contenuto X acquisito)	تصور المستخدمين الأكثر ذكرًا في مجموعة البيانات (فقط محتوى X الملتقط)	Visualisieren Sie die am häufigsten erwähnten Benutzer im Datensatz (nur erfasste X‑Inhalte)	データセットで最も言及されたユーザーを視覚化します（Xでキャプチャされたコンテンツのみ）	A datasetben leggyakrabban említett felhasználók vizualizálása (csak X-ben rögzített tartalom)	Visualizar os usuários mais mencionados no conjunto de dados (apenas conteúdo capturado X)	Vizualizirajte najčešće spominjane korisnike u skupu podataka (samo snimljeni X sadržaj)	Vizualizirajte najpogosteje omenjene uporabnike v naboru podatkov (samo zajeta vsebina X)	Vizualizirajte najčešće spominjane korisnike u skupu podataka (samo snimljeni X sadržaj)
snaTools_mostMentionedButtonText	View	Voir	Ver	Προβολή	Visualizza	عرض	Anzeigen	表示	Megjelenítés	Ver	Pregled	Ogled	Pregled
snaTools_textClustersDescription	Group text shared by users together into clusters based on semantic similarity	Rassemblez les textes partagés par les utilisateurs en clusters basés sur la similarité sémantique	Agrupe el texto compartido por los usuarios en clústeres basados en similitud semántica	Ομαδοποιήστε το κείμενο που μοιράστηκαν οι χρήστες σε συστάδες με βάση τη σημασιολογική ομοιότητα	Raggruppa i testi condivisi dagli utenti in cluster basati sulla somiglianza semantica	قم بتجميع النصوص التي شاركها المستخدمون في مجموعات بناءً على التشابه الدلالي	Gruppieren Sie gemeinsam geteilte Texte der Nutzer in Cluster basierend auf semantischer Ähnlichkeit	ユーザーが共有したテキストを意味的類似性に基づいてクラスタにグループ化します	Felhasználók által megosztott szöveg csoportosítása klaszterekbe szemantikai hasonlóság alapján	Agrupar texto compartilhado pelos usuários em clusters com base na similaridade semântica	Grupirajte tekst koji dijele korisnici u klastere na temelju semantičke sličnosti	Združite besedilo, ki ga delijo uporabniki, v gruče na podlagi semantične podobnosti	Grupirajte tekst koji dijele korisnici u klastere na temelju semantičke sličnosti
snaTools_textClustersButtonText	View	Voir	Ver	Προβολή	Visualizza	عرض	Anzeigen	表示	Megjelenítés	Ver	Pregled	Ogled	Pregled
snaTools_timelineDistributionDescription	Distribution of posts in the dataset across time	Distribution des publications dans le jeu de données au fil du temps	Distribución de publicaciones en el conjunto de datos a lo largo del tiempo	Κατανομή δημοσιεύσεων στο σύνολο δεδομένων με την πάροδο του χρόνου	Distribuzione dei post nel dataset nel tempo	توزيع المنشورات في مجموعة البيانات عبر الزمن	Verteilung der Beiträge im Datensatz über die Zeit	データセット内の投稿の時間的分布	Bejegyzések eloszlása az időben a datasetben	Distribuição de publicações no conjunto de dados ao longo do tempo	Raspodjela objava u skupu podataka tijekom vremena	Porazdelitev objav v naboru podatkov skozi čas	Raspodjela objava u skupu podataka tijekom vremena
snaTools_timelineButton	View	Voir	Ver	Προβολή	Visualizza	عرض	Anzeigen	表示	Megjelenítés	Ver	Pregled	Ogled	Pregled
snaTools_wordCloudDescription	Most frequently used terms in the dataset	Termes les plus utilisés dans le jeu de données	Términos más utilizados en el conjunto de datos	Οροι που χρησιμοποιούνται συχνότερα στο σύνολο δεδομένων	Termini più frequentemente usati nel dataset	المصطلحات الأكثر استخدامًا في مجموعة البيانات	Häufig verwendete Begriffe im Datensatz	データセットで最も頻繁に使用される用語	Gyakran használt kifejezések a datasetben	Termos mais frequentemente usados no conjunto de dados	Najčešće korišteni pojmovi u skupu podataka	Najpogosteje uporabljeni izrazi v naboru podatkov	Najčešće korišteni pojmovi u skupu podataka
snaTools_wordCloudButtonText	View	Voir	Ver	Προβολή	Visualizza	عرض	Anzeigen	表示	Megjelenítés	Ver	Pregled	Ogled	Pregled
collection_nbOfPosts	Number of posts	Nombre de publications	Número de publicaciones	Αριθμός δημοσιεύσεων	Numero di post	عدد المنشورات	Anzahl der Beiträge	投稿数	Bejegyzések száma	Número de publicações	Broj objava	Število objav	Broj objava
collection_uniqueUsers	Number of unique users	Nombre d’utilisateurs uniques	Número de usuarios únicos	Αριθμός μοναδικών χρηστών	Numero di utenti unici	عدد المستخدمين الفريدين	Anzahl eindeutiger Benutzer	ユニークユーザー数	Egyedi felhasználók száma	Número de usuários únicos	Broj jedinstvenih korisnika	Število edinstvenih uporabnikov	Broj jedinstvenih korisnika
collection_totalLikes	Total likes	Total de j'aime	Me gusta totales	Συνολικά likes	Like totali	الإعجابات الإجمالية	Gesamtlikes	合計いいね	Szülei likes? Actually 'Összes kedvelés'	Total de curtidas	Ukupno lajkova	Skupaj všečkov	Ukupno lajkova
collection_totalViews	Total views	Vues totales	Vistas totales	Συνολικές προβολές	Visualizzazioni totali	إجمالي المشاهدات	Gesamtaufrufe	合計表示回数	Összes megtekintés	Total de visualizações	Ukupno pregleda	Skupaj ogledov	Ukupno pregleda
snaTools_noResultMessage	Analysis did not return a result, field might be missing	L'analyse n'a donné aucun résultat, un champ peut être manquant	El análisis no devolvió ningún resultado, puede faltar un campo	Η ανάλυση δεν επέστρεψε αποτέλεσμα, μπορεί να λείπει κάποιο πεδίο	L'analisi non ha restituito risultati, potrebbe mancare un campo	لم تُرجع التحليل نتيجة، قد يكون هناك حقل مفقود	Die Analyse ergab kein Ergebnis, möglicherweise fehlt ein Feld	分析結果がありませんでした。フィールドが不足している可能性があります	Az elemzés nem adott eredményt, lehet, hogy hiányzik egy mező	A análise não retornou resultado, pode haver um campo ausente	Analiza nije vratila rezultat, polje možda nedostaje	Analiza ni vrnila rezultata, morda manjka polje	Analiza nije vratila rezultat, polje možda nedostaje
snaTools_analysisErrorMessage	Error running analysis	Erreur lors de l'exécution de l'analyse	Error al ejecutar el análisis	Σφάλμα κατά την εκτέλεση της ανάλυσης	Errore durante l'esecuzione dell'analisi	حدث خطأ أثناء تشغيل التحليل	Fehler bei der Analyseanalyse	分析の実行中にエラーが発生しました	Hiba az elemzés futtatása közben	Erro ao executar a análise	Pogreška pri pokretanju analize	Napaka pri izvajanju analize	Pogreška pri pokretanju analize
uploadModal_crowdtangleFB_tooltip	For csv files exported from Facebook crowdtangle searches	Pour les fichiers CSV exportés depuis les recherches Facebook Crowdtangle	Para archivos CSV exportados de búsquedas en Facebook Crowdtangle	Για αρχεία CSV που εξάγονται από αναζητήσεις στο Facebook Crowdtangle	Per file CSV esportati da ricerche Facebook Crowdtangle	لملفات CSV المصدرة من عمليات بحث Crowdtangle على فيسبوك	Für CSV-Dateien, die aus Facebook-Crowdtangle-Suchen exportiert wurden	FacebookのCrowdtangle検索からエクスポートされたCSVファイル用	Facebook Crowdtangle keresésekből exportált CSV fájlokhoz	Para arquivos CSV exportados de buscas no Facebook Crowdtangle	Za csv datoteke izvezene iz Facebook crowdtangle pretraživanja	Za datoteke CSV, izvožene iz iskanj Facebook Crowdtangle	Za csv datoteke izvezene iz Facebook crowdtangle pretraživanja
uploadModal_snaTwitter_tooltip	For csv files exported from twitter date captured with this tool	Pour les fichiers CSV exportés de Twitter avec la date capturée par cet outil	Para archivos CSV exportados de Twitter con fecha capturada con esta herramienta	Για αρχεία CSV που εξάγονται από το Twitter με ημερομηνία καταγραφής από αυτό το εργαλείο	Per file CSV esportati da Twitter con data acquisita tramite questo strumento	لملفات CSV المصدرة من تويتر مع التاريخ الملتقط بواسطة هذه الأداة	Für CSV-Dateien, die mit diesem Tool von Twitter exportiert wurden, mit erfasstem Datum	Twitterからこのツールで取得された日付付きでエクスポートされたCSVファイル用	Twitterről exportált CSV fájlokhoz, amelyek ezen eszközzel lettek rögzítve	Para arquivos CSV exportados do Twitter com data capturada por esta ferramenta	Za csv datoteke izvezene iz Twittera s datumom snimljenim ovim alatom	Za datoteke CSV, izvožene iz Twitterja z datumom, zajetim s tem orodjem	Za csv datoteke izvezene iz Twittera s datumom snimljenim ovim alatom
uploadModal_snaTiktok_tooltip	For csv files exported from tiktok data captured with this tool	Pour les fichiers CSV exportés de TikTok avec les données capturées par cet outil	Para archivos CSV exportados de TikTok con datos capturados con esta herramienta	Για αρχεία CSV που εξάγονται από το TikTok με δεδομένα που συλλέχθηκαν με αυτό το εργαλείο	Per file CSV esportati da TikTok con dati acquisiti tramite questo strumento	لملفات CSV المصدرة من تيك توك بالبيانات التي تم التقاطها باستخدام هذه الأداة	Für CSV-Dateien, die von TikTok exportiert wurden, mit von diesem Tool erfassten Daten	TikTokからこのツールで取得されたデータ付きでエクスポートされたCSVファイル用	TikTokról exportált CSV fájlokhoz, ezen eszközzel gyűjtött adatokkal	Para arquivos CSV exportados do TikTok com dados capturados por esta ferramenta	Za csv datoteke izvezene iz tiktok podataka snimljenih ovim alatom	Za datoteke CSV, izvožene iz Tiktoka s podatki, zajetimi s tem orodjem	Za csv datoteke izvezene iz tiktok podataka snimljenih ovim alatom
snaRecord_settingsTitle	Social network analysis recording	Enregistrement de l'analyse du réseau social	Grabación de análisis de redes sociales	Καταγραφή ανάλυσης κοινωνικού δικτύου	Registrazione dell'analisi della rete sociale	تسجيل تحليل الشبكة الاجتماعية	Aufzeichnung der sozialen Netzwerkanalyse	ソーシャルネットワーク分析の記録	Szociális hálózatelemzés rögzítése	Gravação da análise de rede social	Snimanje analize društvenih mreža	Snemanje analize družbenih omrežij	Snimanje analize društvenih mreža
rawUploadIcon_hover_label	Add the raw JSON from a previously recorded collection to this collection	Ajouter le JSON brut d'une collection enregistrée précédemment à cette collection	Agregar el JSON sin procesar de una colección registrada previamente a esta colección	Προσθέστε το ακατέργαστο JSON από μια προηγούμενη συλλογή σε αυτή τη συλλογή	Aggiungi il JSON grezzo da una raccolta registrata in precedenza a questa raccolta	أضف ملف JSON الخام من مجموعة مسجلة مسبقًا إلى هذه المجموعة	Füge das rohe JSON aus einer zuvor aufgezeichneten Sammlung zu dieser Sammlung hinzu	以前に記録されたコレクションからの生のJSONをこのコレクションに追加する	Egy korábban rögzített gyűjtemény nyers JSON-jának hozzáadása ehhez a gyűjteményhez	Adicionar o JSON bruto de uma coleção previamente gravada a esta coleção	Dodajte sirovi JSON iz prethodno snimljene kolekcije u ovu kolekciju	Dodajte neobdelani JSON iz predhodno posnete zbirke v to zbirko	Dodajte sirovi JSON iz prethodno snimljene kolekcije u ovu kolekciju
downloadIcon_hover_label	Download the reformated data in CSV or JSON or the raw network capture in JSON	Télécharger les données reformatées en CSV ou JSON ou la capture brute du réseau en JSON	Descargar los datos reformateados en CSV o JSON o la captura de red sin procesar en JSON	Λήψη των αναμορφωμένων δεδομένων σε CSV ή JSON ή της ακατέργαστης καταγραφής δικτύου σε JSON	Scarica i dati riformattati in CSV o JSON o la cattura grezza della rete in JSON	تنزيل البيانات المعاد تنسيقها بتنسيق CSV أو JSON أو الالتقاط الخام للشبكة بتنسيق JSON	Reformatierten Daten im CSV- oder JSON-Format oder die rohe Netzwerkaufzeichnung als JSON herunterladen	再フォーマットされたデータ（CSVまたはJSON）または生のネットワークキャプチャ（JSON）をダウンロードする	Formázott adatok letöltése CSV vagy JSON formátumban, vagy a nyers hálózati mentés JSON formátumban	Download dos dados reformatados em CSV ou JSON ou da captura de rede bruta em JSON	Preuzmite reformirane podatke u CSV ili JSON formatu ili sirovi mrežni zapis u JSON formatu	Prenesite preoblikovane podatke v CSV ali JSON ali neobdelani omrežni zajem v JSON	Preuzmite reformirane podatke u CSV ili JSON formatu ili sirovi mrežni zapis u JSON formatu
deletedIcon_hover_label	Delete	Supprimer	Eliminar	Διαγραφή	Elimina	حذف	Löschen	削除	 Törlés	Excluir	Izbriši	Izbriši	Izbriši
snaTools_showLessBarChartButton	Show less	Afficher moins	Mostrar menos	Εμφάνιση λιγότερων	Mostra meno	عرض أقل	Weniger anzeigen	表示を減らす	Kevesebb megjelenítése	Mostrar menos	Prikaži manje	Prikaži manj	Prikaži manje
closeDetailModal_button_text	Close	Fermer	Cerrar	Κλείσιμο	Chiudi	إغلاق	Schließen	閉じる	Bezárás	Fechar	Zatvori	Zapri	Zatvori
snaTools_noDataSourceSelected	Select dataset	Sélectionner un jeu de données	Seleccionar conjunto de datos	Επιλέξτε σύνολο δεδομένων	Seleziona set di dati	اختر مجموعة البيانات	Datensatz auswählen	データセットを選択	Adatkészlet kiválasztása	Selecionar conjunto de dados	Odaberite skup podataka	Izberite nabor podatkov	Odaberite skup podataka
uploadModal_uploading	Uploading data...	Téléversement des données...	Subiendo datos...	Μεταφόρτωση δεδομένων...	Caricamento dati...	جاري تحميل البيانات...	Daten werden hochgeladen...	データをアップロードしています...	Adatok feltöltése...	Carregando dados...	Prijenos podataka...	Nalaganje podatkov...	Prijenos podataka...
uploadModalZS_twitter_tooltip	For njson files exported from X (ex Twitter) captured with  Zeeschuimer	Pour les fichiers njson exportés de X (anciennement Twitter) capturés avec Zeeschuimer	Para archivos njson exportados de X (ex Twitter) capturados con Zeeschuimer	Για αρχεία njson που εξάγονται από το X (πρώην Twitter) και καταγράφηκαν με το Zeeschuimer	Per i file njson esportati da X (ex Twitter) catturati con Zeeschuimer	لملفات njson المصدرة من X (تويتر سابقًا) التي تم التقاطها باستخدام Zeeschuimer	Für njson-Dateien, die von X (ehemals Twitter) exportiert und mit Zeeschuimer erfasst wurden	ZeeschuimerでキャプチャされたX（旧Twitter）からエクスポートされたnjsonファイル用	Az X-ből (korábbi Twitter) exportált njson fájlokhoz, amelyeket Zeeschuimerrel rögzítettek	Para arquivos njson exportados do X (antigo Twitter) capturados com Zeeschuimer	Za njson datoteke izvezene iz X (bivši Twitter) snimljene pomoću Zeeschuimera	Za datoteke njson, izvožene iz X (prej Twitter), zajete z Zeeschuimerjem	Za njson datoteke izvezene iz X (bivši Twitter) snimljene pomoću Zeeschuimera
uploadModalZS_tiktok_tooltip	For njson files exported from Tiktok captured with  Zeeschuimer	Pour les fichiers njson exportés de Tiktok capturés avec Zeeschuimer	Para archivos njson exportados de Tiktok capturados con Zeeschuimer	Για αρχεία njson που εξάγονται από το Tiktok και καταγράφηκαν με το Zeeschuimer	Per i file njson esportati da Tiktok catturati con Zeeschuimer	لملفات njson المصدرة من Tiktok التي تم التقاطها باستخدام Zeeschuimer	Für njson-Dateien, die von Tiktok exportiert und mit Zeeschuimer erfasst wurden	ZeeschuimerでキャプチャされたTiktokからエクスポートされたnjsonファイル用	A Tiktokból exportált njson fájlokhoz, amelyeket Zeeschuimerrel rögzítettek	Para arquivos njson exportados do Tiktok capturados com Zeeschuimer	Za njson datoteke izvezene iz Tiktoka snimljene pomoću Zeeschuimera	Za datoteke njson, izvožene iz Tiktoka, zajete z Zeeschuimerjem	Za njson datoteke izvezene iz Tiktoka snimljene pomoću Zeeschuimera
error_upload_file_is_not_json	The file is not a valid JSON file	Le fichier n'est pas un fichier JSON valide	El archivo no es un archivo JSON válido	Το αρχείο δεν είναι έγκυρο αρχείο JSON	Il file non è un file JSON valido	الملف ليس ملف JSON صالحًا	Die Datei ist keine gültige JSON-Datei	ファイルが有効なJSONファイルではありません	A fájl nem érvényes JSON fájl	O arquivo não é um arquivo JSON válido	Datoteka nije valjana JSON datoteka	Datoteka ni veljavna datoteka JSON	Datoteka nije ispravna JSON datoteka
error_upload_file_content	File doesn't have the required content (either empty or unparsable)	Le fichier n'a pas le contenu requis (soit vide, soit impossible à analyser)	El archivo no tiene el contenido requerido (está vacío o no se puede analizar)	Το αρχείο δεν έχει το απαιτούμενο περιεχόμενο (είτε είναι κενό είτε δεν μπορεί να αναλυθεί)	Il file non ha il contenuto richiesto (vuoto o non analizzabile)	الملف لا يحتوي على المحتوى المطلوب (إما فارغ أو لا يمكن تحليله)	Datei hat nicht den erforderlichen Inhalt (entweder leer oder nicht parsbar)	ファイルに必要なコンテンツが含まれていません（空であるか解析不可能です）	A fájl nem tartalmazza a szükséges tartalmat (üres vagy nem elemezhető)	O arquivo não possui o conteúdo necessário (vazio ou impossível de analisar)	Datoteka nema potreban sadržaj (prazna je ili se ne može analizirati)	Datoteka nima zahtevane vsebine (je prazna ali je ni mogoče razčleniti)	Datoteka nema potreban sadržaj (prazna je ili se ne može analizirati)
error_upload_file_keys	The file doesn't have the keys required to add it to the collection	Le fichier n'a pas les clés requises pour être ajouté à la collection	El archivo no tiene las claves necesarias para agregarlo a la colección	Το αρχείο δεν έχει τα κλειδιά που απαιτούνται για την προσθήκη του στη συλλογή	Il file non ha le chiavi richieste per aggiungerlo alla raccolta	لا يحتوي الملف على المفاتيح المطلوبة لإضافته إلى المجموعة	Die Datei enthält nicht die erforderlichen Schlüssel, um sie der Sammlung hinzuzufügen	ファイルにコレクションに追加するために必要なキーが含まれていません	A fájl nem rendelkezik a gyűjteményhez való hozzáadáshoz szükséges kulcsokkal	O arquivo não possui as chaves necessárias para adicioná-lo à coleção	Datoteka nema ključeve potrebne za dodavanje u kolekciju	Datoteka nima ključev, potrebnih za dodajanje v zbirko	Datoteka nema ključeve potrebne za dodavanje u kolekciju
error_upload_raw	Errror at raw	Erreur au niveau des données brutes	Error en los datos sin procesar	Σφάλμα στα ακατέργαστα δεδομένα	Errore nei dati grezzi	خطأ في البيانات الخام	Fehler bei Rohdaten	生データのエラー	Hiba a nyers adatoknál	Erro nos dados brutos	Pogreška u sirovim podacima	Napaka pri neobdelanih podatkih	Greška u sirovim podacima
error_unknown	Unknown error	Erreur inconnue	Error desconocido	Άγνωστο σφάλμα	Errore sconosciuto	خطأ غير معروف	Unbekannter Fehler	未知のエラー	Ismeretlen hiba	Erro desconhecido	Nepoznata pogreška	Neznana napaka	Nepoznata greška
wordcloud_language_label	Choose the language stop words	Choisissez la langue des mots vides	Elija el idioma de las palabras de parada	Επιλέξτε τη γλώσσα των stop words	Scegli la lingua delle stop words	اختر لغة كلمات التوقف	Wählen Sie die Sprache der Stop-Wörter	ストップワードの言語を選択してください	Válassza ki a stop szavak nyelvét	Escolha o idioma das palavras vazias	Odaberite jezik stop riječi	Izberite jezik stop besed	Одаберите језик стоп речи
wordcloud_language_none	No language selected	Aucune langue sélectionnée	Ningún idioma seleccionado	Δεν έχει επιλεγεί γλώσσα	Nessuna lingua selezionata	لم يتم اختيار لغة	Keine Sprache ausgewählt	言語が選択されていません	Nincs nyelv kiválasztva	Nenhum idioma selecionado	Nijedan jezik nije odabran	Noben jezik ni izbran	Ниједан језик није изабран
wordcloud_language_clear	Delete selected languages	Supprimer les langues sélectionnées	Eliminar los idiomas seleccionados	Διαγραφή επιλεγμένων γλωσσών	Elimina le lingue selezionate	حذف اللغات المحددة	Ausgewählte Sprachen löschen	選択した言語を削除	Kijelölt nyelvek törlése	Eliminar idiomas selecionados	Izbriši odabrane jezike	Izbriši izbrane jezike	Izbriši izabrane jezike
